,price
1,18.717457134224276
2,-41.440133035019215
3,61.68598695457898
4,76.6812646994232
5,66.85299832897523
6,-1.1410382323277588
7,93.67104231566026
8,150.42621221059454
9,-223.33431491494844
10,-69.65685408001139
11,91.13156459129436
12,75.28153182641199
13,198.07644861413593
14,140.147161263351
15,15.434664954912307
16,-25.43563600654653
17,-52.39642979676651
18,-42.71193991864706
19,-267.0787292614717
20,-155.83465507759013
21,16.02610567643785
22,34.757738351475666
23,32.511971067141474
24,-0.07745463693032661
25,-79.62704036071244
26,-193.7657579214628
27,-94.60617685653274
