,price
20,56.597847222222214
21,96.90145833333331
22,16.182893518518505
23,44.3529861111111
24,81.98314814814812
25,54.53738425925923
26,93.01974537037034
27,214.73891203703704
28,203.7514814814815
29,-32.4181712962963
30,158.3700787037037
31,346.27043981481484
32,290.00360648148154
33,253.03927314814817
34,78.3798287037037
35,-60.502976851851834
36,-88.50851851851854
37,-111.96178240740743
38,-127.71192129629637
39,-256.11608796296304
40,-42.72268518518525
41,190.44016203703703
42,231.61274140211634
43,190.2679001322751
44,117.84488425925919
45,-97.0857109788361
46,-257.36077050264555
47,-202.75660383597892
