,trend,seasonality,senoidal_cycle,residual
0,221387.0,72832.55447048611,6041.976946302877,-72832.55447048612
1,246642.0,82944.04926215277,7079.344916124297,-82944.04926215281
2,271896.9999999998,87404.68728298614,7020.874428957229,-155640.68728298604
3,206170.66666666672,55269.4138454861,5879.560954639837,-117572.0805121529
4,135004.99999999994,5328.598741319439,3909.0692999851663,-23358.598741319413
5,93027.19999999987,-19925.172092013894,1547.354852493868,13015.972092014097
6,57261.266666666575,-47277.14084201389,-680.6750310463458,54486.874175347475
7,29234.285714285594,-67255.09917534723,-2279.825312024749,91103.81346106184
8,9784.28571428571,-74213.47938368056,-2894.6737894268235,117950.19366939506
9,-164.13888888893416,-65256.14865451388,-2388.5661401862844,110204.28754340293
10,-8656.06666666668,-41374.302300347226,-873.9882868476984,125434.36896701387
11,-2108.2363636363298,11522.038845486106,1312.434376062658,110226.1975181501
12,18275.9545454545,72832.55447048611,3684.7543022494237,113927.49098405922
13,60224.653846153786,7844.4750434027665,5715.7069939944595,153554.87111044326
14,100540.44395604394,6595.603949652788,6953.899180482638,90350.95209430317
15,122883.86857142852,-4993.3674045138905,7124.134091632337,65753.49883308535
16,129337.08535714287,-18022.851779513894,6188.575842017313,4652.766422371079
17,121922.54167542016,-4201.566623263894,4355.158717871142,-28583.975052156176
18,116206.5,32795.989366319445,2031.3723450235248,-82719.48936631937
19,112585.64285714286,32877.66644965277,-266.30569643263607,-95695.3093067956
20,109989.21428571429,33531.965060763905,-2027.2005834800839,-97939.17934647821
21,108640.0,15094.226345486108,-2859.9412586555136,-71222.22634548615
22,108599.21428571429,-10239.034939236117,-2579.4453521743426,-26610.17934647821
23,109901.28571428571,-9442.76844618056,-1248.0550176434099,13963.482731894854
24,114875.42857142857,12777.70681423611,838.3190423992662,56391.86461433538
25,122635.5,7844.4750434027665,3215.9657750400866,126916.02495659736
26,132475.2142857143,6595.603949652788,5356.43676301553,88169.18176463309
27,134061.2142857143,-4993.3674045138905,6783.997537337171,57810.1531187997
28,131579.35714285713,-18022.851779513894,7181.362850629471,26700.494636656756
29,127491.5,-4201.566623263894,6460.215515985714,-11545.933376736239
30,122355.78571428571,24788.67634548611,4780.835512081629,-60815.46205977204
31,120238.78571428571,22864.389887152767,2516.476650286443,-81819.17560143872
32,118249.28571428571,22757.420616319458,170.40833568260382,-93991.70633060536
33,116873.0,7059.188845486108,-1735.9395361003753,-60548.188845486155
34,117845.57142857143,-13352.561675347228,-2778.867976576251,-22625.009753224065
35,120437.42857142857,-7346.287717013894,-2726.5789326015865,23826.859145585622
36,126466.42857142857,12777.70681423611,-1590.6940055478203,84381.86461433569
37,137314.7142857143,7844.4750434027665,376.3285299159222,61376.81067088325
38,143894.2857142857,6595.603949652788,2737.304322002787,67916.11033606163
39,146348.64285714287,-4993.3674045138905,4967.490185193359,14818.724547370894
40,139118.5,-18022.851779513894,6571.211899500204,-3610.648220486445
41,131278.85714285713,-4201.566623263893,7192.031231260601,-30205.29051959367
42,124849.85714285714,21356.970765128965,6691.966793764902,-77349.82790798649
43,119749.85714285714,18572.98564608134,5182.161363985244,-87531.84278893868
44,115396.07142857143,18139.75871155755,2998.1796323315416,-78365.83014012889
45,113170.42857142857,3615.6013454861086,625.4266312594905,-53446.02991691431
46,113317.28571428571,-14686.930276537705,-1408.7368876271066,-9247.355437747512
47,116343.57142857143,-6447.795975942465,-2652.204024992069,69780.22454737149
48,124650.14285714286,12777.70681423611,-2828.6056164683796,46319.150328621276
49,131927.2142857143,7844.4750434027665,-1898.735189311892,68396.31067088287
50,137016.5,6595.603949652788,-69.26287190851326,89007.89605034686
51,137658.92857142858,-4993.3674045138905,2253.198470471544,78741.4388330848
52,138006.85714285713,-18022.851779513894,4552.465754913658,6050.99463665627
53,131408.92857142858,-4201.566623263894,6317.510938164073,-38204.361948165
54,126611.0,19450.467664930555,7156.040530747519,-75776.46766493059
55,123239.57142857143,16188.87217881943,6881.685535980762,-84863.4436073906
56,120217.64285714286,15574.390986689825,5555.423247404728,-82235.03384383222
57,119124.78571428571,1702.497178819442,3472.024623906015,-43401.28289310467
58,121027.28571428571,-15428.246166087969,1094.5394070645573,-6318.039548197379
59,124178.07142857143,-5948.633897569449,-1048.619883858696,64530.56246899815
60,132708.07142857142,12777.706814236111,-2481.121285967669,154393.22175719234
61,147743.5,7844.475043402765,-2884.581463218311,141034.02495659696
62,156096.7857142857,6595.6039496527865,-2169.328603070003,48632.61033606113
63,158066.64285714287,-4993.3674045138905,-494.3325965077902,16082.72454737069
64,155280.07142857142,-18022.851779513894,1768.127118804534,1873.780350942296
65,148602.2857142857,-4201.566623263893,4115.203236214479,-40760.71909102179
66,140904.64285714287,18237.238419349746,6025.2418689544575,-77279.8812764924
67,137749.42857142858,14671.709063289129,7073.723731409955,-91333.1376347174
68,135755.5,13941.88425268309,7027.616484025412,-108307.38425268282
69,133691.57142857142,485.06725457701793,5897.167781160181,-89144.63868314834
70,133010.64285714287,-15899.992641256318,3933.6276590898497,-31813.650215886617
71,135277.7857142857,-5630.985302241166,1573.4064791592978,-6333.800412044728
72,138555.42857142858,12777.70681423611,-658.9202908785901,12779.864614335089
73,143186.2857142857,7844.475043402766,-2267.2025996949033,98919.23924231138
74,147985.57142857142,6595.603949652786,-2893.988589980665,99407.82462177583
75,144707.7142857143,-4993.3674045138905,-2399.970743935789,87095.65311879979
76,139721.14285714287,-18022.851779513894,-894.947941797031,42754.70892237129
77,136373.14285714287,-4201.566623263893,1286.5780980695029,-13465.57623387876
78,132769.57142857142,17397.310480101496,3659.7481376783417,-71208.88190867286
79,128471.5,13621.365367921997,5697.108735728787,-70073.86536792215
80,126212.85714285714,12811.68728298612,6945.8424199468445,-85819.54442584356
81,124165.92857142857,-357.7688468215834,7128.409499532342,-58132.159724607314
82,124493.64285714286,-16226.586354834406,6204.233179401852,-23545.05650230867
83,127588.78571428571,-5411.074736244662,4378.718033305084,4758.289021958938
84,133439.07142857142,12777.706814236111,2057.5974178429838,48380.22175719269
85,141246.2142857143,7844.475043402766,-243.24356989255466,80596.31067088332
86,148844.35714285713,6595.603949652786,-2012.4271202155978,45185.03890749047
87,151452.35714285713,-4993.3674045138905,-2856.7399629704387,60520.01026165701
88,148383.0,-18022.851779513894,-2588.5277341575493,17306.851779513912
89,140788.57142857142,-4201.566623263892,-1267.4024551345237,-23786.004805307766
90,132645.07142857142,16781.36332465278,813.0066510847921,-45094.4347532246
91,128350.71428571429,12851.113324652766,3190.314283795373,-58096.82761036748
92,125807.78571428571,11982.876171875008,5336.147393036461,-42905.66188616099
93,126945.42857142857,-975.848654513891,6773.579741313245,-19292.579916914678
94,129421.0,-16466.08841145834,7183.13205571998,6064.088411458616
95,134122.0,-5249.806987847226,6473.778504133044,80449.8069878477
96,144382.42857142858,12777.70681423611,4803.1778154419535,91906.8646143358
97,156121.35714285713,7844.4750434027665,2542.632537539427,63696.16781374044
98,163316.07142857142,6595.603949652788,194.56448013360932,52033.32462177582
99,165269.5,-4993.3674045138905,-1719.1520044885751,30787.867404513592
100,162510.7142857143,-18022.851779513894,-2773.180202716043,-18195.862506200916
101,157201.2142857143,-4201.566623263894,-2733.255063539348,-66811.64766245097
102,148573.2857142857,16310.344911662582,-1608.2502250466528,-98925.63062594872
103,142736.92857142858,12262.097056270413,351.79421296354894,-105216.02562769911
104,138235.64285714287,11349.079439848867,2711.2448290859697,-107007.72229699153
105,133824.57142857142,-1448.4979192197734,4945.697418699129,-72318.07350935119
106,132178.35714285713,-16649.237042994286,6558.5294523829225,-30249.120099862314
107,131492.2857142857,-5126.484592013894,7191.277865035112,9937.198877728608
108,133608.42857142858,12777.706814236111,6703.309949281031,96024.86461433549
109,142422.14285714287,7844.475043402765,5203.079946541665,42819.382099454226
110,141262.42857142858,6595.603949652787,3024.0243423955503,156543.96747891823
111,145214.92857142858,-4993.3674045138905,650.4533034169967,87400.43883308477
112,145212.07142857142,-18022.851779513894,-1390.090604211959,18259.780350941983
113,139748.07142857142,-4201.566623263894,-2644.0823956650565,-32163.50480530782
114,133485.14285714287,15938.488269828216,-2832.8137294726803,-72694.63112697109
115,129944.92857142857,11797.08421281066,-1914.337762451813,-72251.01278423893
116,128752.28571428571,10848.713598775596,-92.79212548064152,-91284.99931306082
117,127492.14285714286,-1821.6420755665224,2226.972075674478,-52113.50078157585
118,129190.28571428571,-16793.82806789109,4529.371216374955,-32219.457646394294
119,131876.0,-5029.124805829683,6302.681176670918,12619.124805829746
120,137548.0,12777.706814236113,7152.771563274119,86972.29318576369
121,148406.42857142858,7844.475043402764,6890.703913138515,36577.09638516828
122,152443.92857142858,6595.6039496527865,5574.724572548028,12146.467478918214
123,147356.42857142858,-4993.3674045138905,3497.319044138417,2389.9388330849947
124,143904.07142857142,-18022.851779513898,1120.2050626900173,2746.780350942383
125,131348.7857142857,-4201.566623263893,-1028.287362167678,9726.780908978348
126,124866.78571428571,15637.461464533731,-2470.6409416666365,-47195.24717881909
127,121142.5,11420.64524429562,-2886.282625253387,-75380.14524429523
128,117842.5,10443.655536954375,-2182.833176422937,-82526.15553695409
129,115630.42857142857,-2123.711154513891,-516.6390964262341,-64629.7174169146
130,114158.0,-16910.8779451885,1741.9764660783842,-23381.12205481165
131,115983.0,-4950.309740823417,4091.020593965367,-6974.690259176883
132,118161.64285714286,12777.706814236113,6008.401996538407,42589.650328620715
133,124829.64285714286,7844.475043402763,7067.969406844964,70671.88209945417
134,129392.5,6595.6039496527865,7034.226645711775,63822.8960503472
