,trend,seasonality,senoidal_cycle,residual
0,77797.0,-5552.8598090277765,1657.4542865931971,5552.859809027777
1,104684.0,6580.317274305556,1550.5453583788276,-6580.317274305556
2,131570.99999999994,18747.939670138887,1401.051241569572,-33992.93967013885
3,138131.33333333334,23356.351128472223,1215.4490375036216,-47038.68446180559
4,133713.49999999997,22480.200086805555,1001.7802953066644,-41062.70008680555
5,131007.29999999994,18488.004774305555,769.3025973207477,-38879.30477430549
6,125856.39999999995,11188.06987847222,528.0884577080222,-31421.469878472133
7,119824.71428571426,-1126.8728298611093,288.5889126685916,-23672.841455853097
8,110787.24999999997,-14419.424913194445,61.18071051052107,-9266.82508680547
9,101555.7777777778,-25750.325954861117,-144.28327962356684,-3110.451822916636
10,89728.13333333335,-30235.628038194438,-318.9009610234624,8736.494704861108
11,80052.70909090909,-23755.771267361117,-455.10670875350286,17193.06217645201
12,75030.34848484845,-5552.8598090277765,-546.9991639527613,34892.511324179286
13,80970.73076923075,2726.722222222223,-590.5969208158159,36928.547008546986
14,90921.06153846155,2164.257378472221,-584.0110281561848,38976.6810830662
15,100718.6832142857,-1196.987413194447,-527.5268316120065,38245.304198908736
16,106500.2423214286,-3877.7139756944416,-423.59161053333435,32517.47165426586
17,107744.78124999999,-2633.883246527781,-276.7085452051341,24309.10199652782
18,106235.35714285714,27.45008680555596,-93.24160846658992,13283.192770337324
19,106550.71428571429,4011.2539062500005,118.86016485185655,-5574.9681919642835
20,106148.64285714286,7692.1514756944425,350.4070841515969,-24877.794332837322
21,104958.64285714286,6987.4587673611095,591.3669629301762,-39526.10162450402
22,103344.0,4908.2573784722235,831.2997812952162,-44328.2573784723
23,101688.5,4406.746093749997,1059.8100185929447,-39795.24609375005
24,101231.71428571429,2817.605034722222,1266.997058027349,-19957.319320436516
25,102364.78571428571,2726.722222222223,1443.8841486799397,12929.492063492122
26,105545.57142857143,2164.257378472221,1582.8073393797627,27100.171192956448
27,107719.85714285714,-1196.987413194447,1677.747533164389,36925.13027033742
28,109350.0,-3877.7139756944416,1724.59127547565,41350.71397569453
29,110404.35714285714,-2633.883246527781,1721.3089769725998,38519.52610367066
30,111013.14285714286,1143.5120659722224,1668.0428491380721,30710.345076884856
31,111565.07142857143,3497.4412326388897,1567.1007427105508,17440.48733878955
32,111785.28571428571,5480.993836805554,1422.8561559023683,-22.279551091412944
33,111620.85714285714,3713.680295138887,1241.5587447279754,-5440.53743799615
34,111971.35714285714,1393.8688368055577,1031.0635454228309,-7903.225979662746
35,113149.85714285714,1590.4943576388862,800.4906408785012,48.648499504018005
36,116176.21428571429,2817.605034722222,559.8300166572645,15749.180679563617
37,121234.71428571429,2726.722222222223,319.50872690990104,16070.563492063651
38,126501.28571428571,2164.257378472221,89.93912351109753,24118.45690724221
39,131407.85714285713,-1196.987413194447,-118.9322778024798,22281.130270337377
40,133870.07142857142,-3877.7139756944416,-298.0557481061811,21783.64254712298
