;SE/CO;mlt;259;261;262;263;265;266;267;278;279;281;282;283;285;287;289;291;294;295;296;313;243;244;245;246;247;248;249;251;252;Vazão posto 243;Vazão posto 244;Vazão posto 245;Vazão posto 246;Vazão posto 247;Vazão posto 248;Vazão posto 249;Vazão posto 251;Vazão posto 252;Vazão posto 259;Vazão posto 261;Vazão posto 262;Vazão posto 263;Vazão posto 265;Vazão posto 266;Vazão posto 267;Vazão posto 278;Vazão posto 279;Vazão posto 281;Vazão posto 282;Vazão posto 283;Vazão posto 285;Vazão posto 287;Vazão posto 289;Vazão posto 291;Vazão posto 294;Vazão posto 295;Vazão posto 296;Vazão posto 313
SE/CO;1.0;0.08311775016050735;-0.6011571417779145;-0.8054439308041152;-0.7954397234977427;-0.7930674194171329;-0.7756628145165768;-0.7980407127198663;-0.6670025209344815;-0.571289827959645;-0.5606230200756375;-0.8581130029964235;-0.6637246482589559;-0.5300641451231246;-0.7304987417311323;-0.6335165739640772;-0.47104531852526815;0.20616535435123498;-0.5297513996653046;-0.6117575049278692;-0.8747584491511489;-0.28610649230291263;-0.28610649230291263;-0.47874681743445163;-0.22411340597756266;-0.22411340597756266;0.6286083230614401;-0.6017534121812689;-0.6230297630159483;-0.669722270588959;-0.5508634758909929;-0.6437813752594648;-0.8712666307199218;-0.8751224503548672;-0.8754705979832921;-0.9384866716573921;-0.9382967879978352;-0.624687179837834;-0.8632632490040352;-0.9510892835337779;-0.9510892835337779;-0.938796337498046;-0.646549548951801;-0.6263734119173239;-0.7753333270660321;-0.8204334422096138;-0.7392973947892422;-0.8114560200410492;-0.9386257935889148;-0.9566471766946236;-0.9492878199413479;-0.7451228878952979;-0.8859331742395228;-0.8811645277700029;-0.9462875441845218;-0.7980815042038668;-0.9200409838029149;-0.936632349619358;-0.919504984104116;-0.9087321745207375
mlt;0.08311775016050735;1.0;-0.746439662927253;-0.3911840709410168;-0.4132801194522319;-0.34974946074656604;-0.2031710150065128;0.228984255719255;-0.7491867743507608;-0.8158926444774646;-0.8194413439160753;-0.4837081105294401;-0.4729203647216082;-0.6544347123881311;-0.13246626627853844;-0.6606357772541858;-0.5358964668378102;0.3658877153108139;-0.5007478792870398;-0.6838782921679476;-0.2953189776420467;-0.6892120261504738;-0.6892120261504738;-0.8013451354729856;-0.747167888334888;-0.747167888334888;0.007690466838090752;-0.6966527763473926;-0.675461004889229;-0.6321268993120379;-0.7415925240354181;0.3728043617700345;0.15127567421679602;0.14973346351590236;0.15462630024759122;-0.03960286305938578;-0.04499035147745887;0.4517269875232731;0.05491838447749296;-0.22332661594856051;-0.22332661594856051;-0.053296911147854904;-0.12801952714457432;-0.016413390328781936;-0.1910392672991131;0.27979009228910545;-0.03710220217822131;0.13125201138476478;-0.2410290853804724;-0.20281899411077797;0.10150155353916265;0.06930809946000763;-0.4321893882310681;-0.44581002858708696;0.10247980643138524;-0.545089295798936;0.10583708063370327;-0.06663871599786805;-0.09912060387429449;-0.031531207995156935
259;-0.6011571417779145;-0.746439662927253;1.0;0.8806284015173397;0.8903586440439424;0.8609691722130054;0.7597489425005741;0.377149386912521;0.9046829120964077;0.8885314930831809;0.8934414003713811;0.8110853728265963;0.862867011478924;0.919333662297795;0.6949829226466213;0.9753306709246434;0.7858194622078075;-0.12234667180760295;0.8622488781976523;0.9761536195936776;0.7120939521665498;0.7058919737226605;0.7058919737226605;0.964332764121117;0.8263873944443354;0.8263873944443354;-0.1702944337328657;0.9770161550183906;0.9770557435239097;0.9722916649057834;0.9171816620835924;0.08096753428470624;0.3806073523045492;0.3865082679650831;0.383131341053704;0.5621529069082701;0.5647557292002445;-0.002708911902357178;0.45968008333099974;0.6861792871028181;0.6861792871028181;0.569365199266979;0.5218046876591432;0.4288342397992549;0.5922666504753883;0.2541994380562023;0.4629385309325369;0.3904089671069449;0.6930314317970527;0.669174270801812;0.4549890294658247;0.39116645682111056;0.836761145846585;0.8433057071021348;0.4541842367133477;0.8120706882810671;0.4428699696460684;0.5859510346561795;0.6226966071270377;0.5543660774039679
261;-0.8054439308041152;-0.3911840709410168;0.8806284015173397;1.0;0.9991283441352002;0.9967080012297961;0.9603362431601212;0.7621345306053924;0.8124034442799274;0.7376434340118886;0.7337428525574219;0.8665171729192881;0.8312958544104224;0.8044569176675954;0.9040735705698042;0.9285535676670897;0.6630638773909978;-0.05556561602830023;0.8896203418486607;0.9127213397082291;0.8727630614347505;0.4921625779924163;0.4921625779924163;0.8010635695003998;0.6329813453507461;0.6329813453507461;-0.4197503631740341;0.9056880036925382;0.9230233565505125;0.9484493615006386;0.8327850948963837;0.4520590278999031;0.7059055316275508;0.7140484130595752;0.7093073643694184;0.8301333137226122;0.8304649210578546;0.379078956247361;0.7252504709093323;0.8550460115116187;0.8550460115116187;0.8312961045340767;0.7043897893404459;0.6450025107494496;0.7406766221234722;0.624212035057915;0.6704424659896141;0.6968306026547664;0.8664673348445477;0.8548527817451939;0.7461060547303264;0.6114687594196457;0.9455920723164358;0.9451215958331225;0.7473012705555174;0.7851929497016247;0.7646176799650386;0.8525790724655843;0.8854478973621792;0.8384371582521993
262;-0.7954397234977427;-0.4132801194522319;0.8903586440439424;0.9991283441352002;1.0;0.9948720554311639;0.9555628437311233;0.7510297648290125;0.828301380131831;0.75600486876554;0.7525039267296715;0.8601159160260075;0.8389313213653479;0.8196256237139395;0.8921593505366161;0.9391480007091538;0.679980325213538;-0.0544156431229164;0.9025854979330802;0.9242716605568849;0.8619806753265544;0.5177335634648904;0.5177335634648904;0.8171804068238503;0.6546208364891665;0.6546208364891665;-0.41001311550260827;0.9176631338418619;0.9337543082069127;0.9572671215440871;0.8511281405394229;0.4253565449981606;0.6828141825285292;0.69158013847986;0.6863148607355964;0.8151183828607268;0.8154707101462125;0.3551566925896199;0.7079333025637636;0.8513005084226173;0.8513005084226173;0.8165311962740343;0.6912889864063217;0.632933799880439;0.7306252498042757;0.6010265397348459;0.655759796661319;0.6781260637372001;0.8571773205742796;0.8492008843544795;0.7325144468787185;0.6045311084888624;0.9436046250102357;0.9436521579583905;0.7337451091848758;0.7958462883057223;0.7486706373718609;0.8391179766092639;0.8741342274405005;0.8230020967910535
263;-0.7930674194171329;-0.34974946074656604;0.8609691722130054;0.9967080012297961;0.9948720554311639;1.0;0.9716502032161735;0.7787811844729366;0.779474159643165;0.7029249514812993;0.6988706131856146;0.8404854555799319;0.8164885650401668;0.7892906548029794;0.9148727727337175;0.9149111517982716;0.6501934102437719;-0.023080539949215436;0.897781063632006;0.8995652157884706;0.8559582393710321;0.4707028377144334;0.4707028377144334;0.7846673556471805;0.6357931614436968;0.6357931614436968;-0.40643690151410644;0.8913494617205828;0.9087111274153568;0.9340259701129906;0.8103240333358204;0.4564548063919113;0.7049520793515914;0.7133261519507008;0.7079642139922282;0.8207949670506136;0.8207579302075084;0.3853227505190922;0.7281400904232821;0.8393639695989292;0.8393639695989292;0.8207604882288021;0.7066497630813505;0.6587757127629436;0.7404902402348144;0.6256880227484831;0.6647732431634443;0.7086940812614126;0.8508554738807845;0.8396206165591099;0.7448142246154774;0.6278391611506201;0.9251739553563189;0.9239696516307052;0.7462455371445029;0.753037958600185;0.7622535201783726;0.8408844747923697;0.8774091295346804;0.8314863343140286
265;-0.7756628145165768;-0.2031710150065128;0.7597489425005741;0.9603362431601212;0.9555628437311233;0.9716502032161735;1.0;0.8350134488597072;0.6781686716978641;0.5722893788724612;0.5610543378203512;0.7630919235719804;0.7670361812373847;0.7225009531275707;0.8906826312209281;0.8391769129287602;0.5781925125401487;0.007802116209574479;0.8591704577379848;0.82098429054546;0.8041177470676678;0.3922746805093162;0.3922746805093162;0.6683902773117891;0.524028462758484;0.524028462758484;-0.43388948459556687;0.8114534931887698;0.8306388328708167;0.8620096734915198;0.6928551349893882;0.4989362514198017;0.7132235116564946;0.721170877588711;0.7154883398509986;0.8228054326251948;0.8216849685873076;0.42153965494497075;0.7555590727559784;0.8403666120370978;0.8403666120370978;0.820146505048686;0.7716923332709145;0.7229002972639683;0.7510299536710595;0.6565986281400036;0.7379107849461934;0.7541632482620823;0.8520246757528076;0.8459575292699224;0.772053271586355;0.6537850898864974;0.8848226371660992;0.8812524244717178;0.7694958688486977;0.7148946291969747;0.7899714198517055;0.846381133467499;0.8867709169328274;0.8611003017233427
266;-0.7980407127198663;0.228984255719255;0.377149386912521;0.7621345306053924;0.7510297648290125;0.7787811844729366;0.8350134488597072;1.0;0.42219595760903256;0.3028216547606006;0.29264327612054775;0.5980945647746899;0.5205442933984054;0.375812962490251;0.7841673022979642;0.5105491138331678;0.3289366630333677;0.033292169610890626;0.5916664519255184;0.48058798106318024;0.7326881157619181;0.10341097238642281;0.10341097238642281;0.2956791386445491;0.15681223771861627;0.15681223771861627;-0.5992095405219631;0.4650707311777772;0.49495437311054513;0.5491666457324288;0.4321237335352276;0.7275719759950002;0.8537939448989932;0.8633796563295049;0.8562497564287233;0.8681543075433695;0.8651592959731403;0.7203676897954346;0.8067387136651126;0.7770162628616161;0.7770162628616161;0.8611815769657466;0.6396359432516874;0.6528187856159446;0.6503439244979488;0.8606887786777586;0.6856196084830267;0.8132059366893991;0.7592056097389176;0.7856423237066685;0.8711896673739628;0.703210386755099;0.7352203029651058;0.7259982721402098;0.875761928912848;0.49323263300626885;0.9004287948633946;0.8784708549050478;0.9024995219975143;0.8835939272473313
267;-0.6670025209344815;-0.7491867743507608;0.9046829120964077;0.8124034442799274;0.828301380131831;0.779474159643165;0.6781686716978641;0.42219595760903256;1.0;0.9849347741784558;0.9786613738439979;0.8354855897561706;0.7828884516883466;0.836800202860927;0.5371857428021941;0.9038248130252639;0.7403401853541428;-0.39136084868616333;0.7870465140695105;0.907125474513407;0.7352256283481078;0.7553994412985655;0.7553994412985655;0.9026072604317994;0.7437674452633105;0.7437674452633105;-0.4387300388545557;0.9089807080580593;0.9051939458283276;0.9020839138821036;0.9431771378873024;0.10495425033745696;0.4150746081975608;0.42294952694835586;0.4128464828480417;0.6173083226511251;0.6202434411824934;0.054632051855073256;0.5033752182518398;0.776680539416433;0.776680539416433;0.6263881510145427;0.49502634196781387;0.4081098248359249;0.6117401462399396;0.3047112704532213;0.5034300726086344;0.39716224082739254;0.7314067823109663;0.7498203127682219;0.5409915958362181;0.4504968874353495;0.8726006411530244;0.8794219845556817;0.5405713922691443;0.904500944123753;0.517952224250431;0.6303364822626047;0.6649449748737472;0.5916918379304303
278;-0.571289827959645;-0.8158926444774646;0.8885314930831809;0.7376434340118886;0.75600486876554;0.7029249514812993;0.5722893788724612;0.3028216547606006;0.9849347741784558;1.0;0.9976620844668843;0.7871577955283279;0.7308724382288001;0.8025436554780613;0.4538502785190543;0.8659488662346143;0.7278206661716687;-0.4184407217351105;0.740496697600742;0.8737105931793924;0.6711573088871543;0.767559120648262;0.767559120648262;0.9086814844388166;0.7780790428190155;0.7780790428190155;-0.3713811955142825;0.8769704329921291;0.8693777224041115;0.858249173198354;0.9409929461066421;0.007432174683232841;0.32091731010651153;0.3281604028150401;0.31660168161301105;0.5190488216508072;0.5225479027055547;-0.03824787931188095;0.41197775239357853;0.6786971772860815;0.6786971772860815;0.529194633236524;0.4017728794265374;0.3197053676957003;0.539929437423295;0.1987730461296825;0.39937720788818387;0.2934292529586676;0.6260988556878165;0.6448100037578647;0.4338985539440598;0.3771740352980685;0.7949454655705225;0.8032045623188615;0.4359038199637119;0.8347093042528902;0.40944705186993274;0.5192416373550035;0.556886447451694;0.47561669093070746
