;SE/CO;mlt;1;2;6;7;8;9;10;11;12;14;15;16;17;18;20;22;23;24;25;28;31;32;33;34;47;48;49;50;51;52;61;62;63;99;104;109;116;117;118;120;Vazão posto 1;Vazão posto 2;Vazão posto 6;Vazão posto 7;Vazão posto 8;Vazão posto 9;Vazão posto 10;Vazão posto 11;Vazão posto 12;Vazão posto 14;Vazão posto 15;Vazão posto 16;Vazão posto 17;Vazão posto 18;Vazão posto 20;Vazão posto 22;Vazão posto 23;Vazão posto 24;Vazão posto 25;Vazão posto 28;Vazão posto 31;Vazão posto 32;Vazão posto 33;Vazão posto 34;Vazão posto 47;Vazão posto 48;Vazão posto 49;Vazão posto 50;Vazão posto 51;Vazão posto 52;Vazão posto 61;Vazão posto 62;Vazão posto 63;Vazão posto 99;Vazão posto 104;Vazão posto 109;Vazão posto 116;Vazão posto 117;Vazão posto 118;Vazão posto 120
6;-0.7143922036441841;-0.5686993639005063;0.8914143837099981;0.873586964578;1.0;0.9913841376324832;0.977709222874274;0.9852439707389985;0.9825345566805505;0.9786910037274327;0.9785076257556387;0.9826881362524297;0.9642297358205028;0.9579543464159759;0.9783189253853527;0.9588023337261318;0.7366093992098581;0.8782793884175264;0.9611334984139421;0.9472722977821697;0.9731723167134274;0.9594439876722226;0.9479282645521822;0.9461925697547483;0.9320093742524916;0.8286291943938117;0.8334975111991161;0.8550868978548469;0.9032382450611409;0.8792181563946564;0.8706851191423042;0.8813219760905581;0.859980503005429;0.8416130226814419;;;0.792348198689598;0.7698713068663251;;0.8775532915106139;0.8250228261793232;0.8799182335392017;0.5583804749015082;0.5583804749015082;0.5378744341183669;0.5362126116310044;0.5369629067065019;0.5382180566688546;0.5402420305696092;0.539929085667959;0.569007927025066;0.5763214095856755;0.5761098251783168;0.5738824414678774;0.5653483085030983;0.5588522510415544;0.5942432286435363;0.6336524551304881;0.7215949943205441;0.5944626297677477;0.4775493498159944;0.4924712462686599;0.6107891438062523;0.6208785070151365;0.6842160508333544;0.6228174720990961;0.29109769461984575;0.2856056955053465;0.18708584224515523;0.1969463587403821;0.1996976765641151;0.20206627577067673;0.1078858572630944;0.11415803239059456;0.12505656103878926;0.6099077340845198;0.2694340038566746;0.11192805007785064;0.15219444879347824;0.4627917569099079;0.11192805007785064;0.38539309194829213
7;-0.697217355523373;-0.5565520722101482;0.8608034927212843;0.8418276751062793;0.9913841376324832;1.0;0.9905596842523032;0.990670421808296;0.9866059536100166;0.985867349511791;0.983609448989955;0.9747618754694826;0.9782880723515563;0.974203516305375;0.9854128390414703;0.9731001961136216;0.7741462235123664;0.8844905453833382;0.9693053442185467;0.9613882664008572;0.9810943266045389;0.971594413647309;0.9610743722970829;0.9653681334657971;0.9467452716725288;0.8347266040502903;0.8392872269315181;0.8612692588602846;0.909151954232676;0.8873459460686233;0.876513123998998;0.8876893924699711;0.8702791441082364;0.8542701137310288;;;0.77605523169954;0.7573270888096979;;0.8846273716422348;0.8457248217475867;0.8916306388083575;0.5250927763178462;0.5250927763178462;0.4988329794688703;0.4971887337200272;0.4978472080210459;0.49891526824071875;0.5006037532896422;0.4999135614002601;0.5293000232052324;0.5502711101693917;0.5494543773095384;0.5476473255222518;0.5295094329920462;0.521673412720008;0.5392615553614405;0.5802477374901743;0.6766053462306981;0.5396305421482535;0.431993944731198;0.4462706204183134;0.5648309374826135;0.5751689494075549;0.6399431192400087;0.5830743460702079;0.29658038469531794;0.2911677113550014;0.18995384870918744;0.19818993951610014;0.20107120634305387;0.2033788821529852;0.11620777362714063;0.12311959337637866;0.13458830146773704;0.5840354625119004;0.28892765651206487;0.13168804596621592;0.1686078766175591;0.48039101124907563;0.13168804596621592;0.36303749290608145
8;-0.7364572332320952;-0.5462033820730535;0.8734347131795696;0.8535335784570898;0.977709222874274;0.9905596842523032;1.0;0.9867525290388381;0.9836489763374338;0.987584357884792;0.9858491748312688;0.972079331818624;0.9831588043439566;0.9796896361369404;0.989989136735818;0.9923345834344064;0.7966355532081819;0.8884660870836883;0.9817072026763682;0.9678177010348715;0.9836361833210581;0.9777190850483676;0.960192677272831;0.9824454528571499;0.9715353852577974;0.8453230069548175;0.8328613096532789;0.8790353112603206;0.8784321179764492;0.8833056731880452;0.8838080829951941;0.9139209224387737;0.8970695711053054;0.8844883671296921;;;0.7677542954350225;0.7674213769225703;;0.9256980325145882;0.8505364774162719;0.8922961531979657;0.5468615176510172;0.5468615176510172;0.5214501923492849;0.5186332344073111;0.5189445229240226;0.5197947785600329;0.521036361069137;0.5194010721744092;0.5488689771420311;0.5917999305938292;0.5914561007912108;0.5892317956855254;0.5507756567235134;0.5375231063498948;0.5758323700400924;0.6103002548962406;0.7107343749050979;0.5761760849774115;0.45163673301735285;0.4679622704735859;0.6003760643339492;0.6105872274345652;0.6717485218319469;0.6087476760313305;0.33883892475706356;0.33272988062559966;0.2255336595685499;0.23730090843466056;0.24036916290453741;0.2432118738277812;0.1571641800670685;0.16442131882979916;0.1758701095482128;0.6302320460480593;0.3752217197897809;0.22632281152145034;0.2605156133916191;0.5485446188357496;0.22632281152145034;0.38356898689131735
9;-0.693050246521705;-0.5947808337030112;0.8861893617216866;0.8747137895446131;0.9852439707389985;0.990670421808296;0.9867525290388381;1.0;0.9990277772138254;0.9985194541566249;0.9973615004633161;0.9598633046113544;0.9603021648710363;0.9692332135737588;0.9942078120857769;0.9773255451386984;0.784257151259147;0.9128534298277117;0.9739593227579624;0.9500935156871597;0.9877919138347124;0.9759663866523864;0.9638512803126966;0.9632439558987237;0.944873598040975;0.8180184794255917;0.8223394252979742;0.8544559381467955;0.9010845739242302;0.8742090503546515;0.8678771437531939;0.8795410027655883;0.854937966848038;0.8344704267184261;;;0.7624581357954548;0.7500302133213812;;0.9055401877087331;0.855783879102784;0.8870070182213639;0.5491593082241322;0.5491593082241322;0.5276097231414186;0.5260734010481494;0.5266370194561313;0.5276840562446047;0.5292575785295092;0.528221358414925;0.5573448708005491;0.5802413140632613;0.5802807718586597;0.578565474024799;0.5611610252865418;0.5519011037239607;0.5534113398577073;0.5919731429721644;0.6827898804123904;0.5538493557436087;0.44573831393133273;0.4618615002886719;0.5802215393990742;0.591048593454628;0.6603372021808503;0.6072559375039318;0.3164099770610194;0.31092192295312754;0.2118656524318923;0.22025980081154303;0.22322091938983202;0.22562894563123279;0.1396015111269138;0.14774379382416403;0.16059195060309728;0.5879987409650831;0.302669790625788;0.1544351753278697;0.20609129925448952;0.48078836658262303;0.1544351753278697;0.40134880055264555
10;-0.7028066201987698;-0.602935207237224;0.8899897345454437;0.8803455895895751;0.9825345566805505;0.9866059536100166;0.9836489763374338;0.9990277772138254;1.0;0.9982660202515684;0.9980280848282592;0.9575379944336774;0.9518147792896384;0.9615066932372038;0.9933408021512442;0.9763188899168824;0.7929377070349868;0.9196294813065643;0.9759224382668722;0.9489267612711717;0.9891833680412876;0.9765497536520762;0.9647577418944167;0.9618172967754327;0.9428371964248391;0.8101519067830943;0.8134806069940282;0.8477703025045148;0.8951189090884815;0.8665471637109659;0.861057823579761;0.8738553995894998;0.8474536662186002;0.825583995797557;;;0.761326762762775;0.7465584404275277;;0.909959383047854;0.8600302927548896;0.8890555246204866;0.5446248446794997;0.5446248446794997;0.5248408451855093;0.5248487903509533;0.5257238113244305;0.5269125214839844;0.5288554389998188;0.5284578675537298;0.5580406791460034;0.5749475259533987;0.5747736195218146;0.5733305740144761;0.5615757331037766;0.5532092425504814;0.5619431618297936;0.6002221468687094;0.6930737744102669;0.5623769393632005;0.4549617091592709;0.4712300814102939;0.5890836081445389;0.5998280851895743;0.6694922011105389;0.6131169374597674;0.3167443620926859;0.31126559064657106;0.21209443477662865;0.21985776703152607;0.22281700103962526;0.22517194674017996;0.1377806520549509;0.14607403074414566;0.1589725287367287;0.5978006380309853;0.30243230886799144;0.1563928882544605;0.2074358658045806;0.47757962907001394;0.1563928882544605;0.3935911459991029
11;-0.7091613459643342;-0.5792286875623757;0.8919118713462607;0.8809981700123208;0.9786910037274327;0.985867349511791;0.987584357884792;0.9985194541566249;0.9982660202515684;1.0;0.9995051956474337;0.9559264944931127;0.9587275126570607;0.9699801762198478;0.9973215946380729;0.9823999863281677;0.78571602941243;0.9085298733878663;0.9738624926171944;0.9468682068493552;0.9854372246731613;0.9731113340083296;0.9586433871695206;0.9642555973324457;0.9521442654434313;0.8284921555198326;0.8278998827254538;0.8628626728257043;0.8952045547168731;0.8767063445775167;0.8739960199534041;0.8885399017939475;0.8633646824174647;0.8433702190125631;;;0.7700096076221611;0.7617843759634568;;0.9135903141401026;0.8496678124313407;0.8790310870630514;0.5662038707629278;0.5662038707629278;0.5449449078282457;0.5436418056357533;0.5441745299847037;0.5451542346988291;0.5466302316320326;0.5454814397927269;0.5741981684316877;0.6012505342904071;0.6012302365160581;0.5995939455842234;0.578713241593081;0.568113384101013;0.5704655903517345;0.6058017341977603;0.6951086465775607;0.5708514578527089;0.4618887781090525;0.4788120997749413;0.5981794153277901;0.6088780046569325;0.6766955996642382;0.6247401101125737;0.3398669986648326;0.3344084623180459;0.23696020749998142;0.2459045668235353;0.24887882853300453;0.251327082472774;0.1672723981220968;0.1754625753499003;0.18813624780339872;0.6080928991317226;0.3333466240339994;0.19035206135320215;0.24561604540818877;0.5019178028902946;0.19035206135320215;0.418559580720383
12;-0.7187377504370349;-0.5770027123565875;0.8958230718743668;0.8856627302731087;0.9785076257556387;0.983609448989955;0.9858491748312688;0.9973615004633161;0.9980280848282592;0.9995051956474337;1.0;0.9571150222635474;0.9543571948255267;0.9654034740581018;0.9975772048166279;0.9819022202503114;0.784018171381617;0.9087762276935897;0.9738645368787503;0.9458382107392007;0.9850044184958103;0.9720996648033553;0.9575356499097635;0.9628703220610969;0.9515368390248518;0.8285484955628438;0.8265068329823857;0.861794787408217;0.8919868935375118;0.8741542551074931;0.8726256295165102;0.887798998321252;0.8615742543694924;0.8413898398773062;;;0.7754607682340274;0.7656697583081596;;0.9144272003412363;0.8476917326309019;0.8783476756966246;0.572220241030243;0.572220241030243;0.5528091118474514;0.5521251651597449;0.5527938303235163;0.5538517690852801;0.5555001322880664;0.5546196383422833;0.5833510016756914;0.607336010597347;0.6074290434503938;0.6061017930295338;0.5866844422978555;0.5762620293205082;0.5845495987603844;0.6173484287563655;0.7070562761082053;0.5848723821452927;0.47326443153850783;0.49081426378065357;0.6105973483244769;0.6213009150011859;0.6886411329127561;0.6352730282706385;0.3433720146518612;0.33799849715428154;0.2423250277027456;0.2511427281000836;0.25406072356238574;0.2564358263398981;0.17058210392831757;0.17853837171196824;0.19081633477624066;0.6197299189969172;0.33801007341240197;0.19624652618856328;0.2510851794932637;0.5045381648478598;0.19624652618856328;0.4210742883021272
14;-0.7700564016055634;-0.5161854154885928;0.8834719201886149;0.8634568425684532;0.9826881362524297;0.9747618754694826;0.972079331818624;0.9598633046113544;0.9575379944336774;0.9559264944931127;0.9571150222635474;1.0;0.965228831673014;0.9413788795311206;0.9646915531463814;0.9631057660148353;0.757628812095314;0.8508278646461618;0.9621837117388415;0.9446913334632313;0.9611994230105967;0.9508570420803011;0.9378454374566076;0.9528488913656363;0.9570787494514205;0.8416861221267298;0.8315635807498485;0.8694995228351022;0.8896803140698919;0.887536172698675;0.8857157205514364;0.9121707483309307;0.8982321102430414;0.8854353080009678;;;0.8190308616216592;0.7948446825175992;;0.8986475355779242;0.8028477004341702;0.8903729829903896;0.5793105420612773;0.5793105420612773;0.5628585120755054;0.5632936642272507;0.5643884616662825;0.5655908671015448;0.5678067395079744;0.5682453286791634;0.5967195844476166;0.6007846039912345;0.5989663047523766;0.5969522657440628;0.5919831527339878;0.5846603500126889;0.6328771524799024;0.6672003776371052;0.7589748593700021;0.6329048932523712;0.5259797629423992;0.5407212292431917;0.6551952940264583;0.6643516513761984;0.7208678274356242;0.6580624793317372;0.3503878084267843;0.34517783099389504;0.24842709030910143;0.2610052469964967;0.2636624457997986;0.266352804918385;0.17185039095356455;0.17730074384232147;0.18663007826544095;0.667589785742617;0.34148709538512034;0.18839926653431044;0.2172783332546533;0.5231659741413993;0.18839926653431044;0.39979474929818953
15;-0.742934053497216;-0.4280126938636869;0.8782487881470538;0.8547238048848178;0.9642297358205028;0.9782880723515563;0.9831588043439566;0.9603021648710363;0.9518147792896384;0.9587275126570607;0.9543571948255267;0.965228831673014;1.0;0.9913527973871936;0.9680941743434271;0.9723740025262899;0.7265531177362704;0.8141302189806399;0.9380725298608062;0.9251385273768408;0.9435214594149035;0.9364895313636131;0.9148486022144586;0.95245812384424;0.9704233896927006;0.8953671639957338;0.8906826491119367;0.927644679758316;0.9127113446225674;0.933709204189985;0.9310336100943063;0.947565333948178;0.9366775155214568;0.9270199429803248;;;0.8173365634932226;0.8245540469267072;;0.880927798088489;0.7679592196147883;0.8353893888061696;0.5982920527792381;0.5982920527792381;0.5691970084202611;0.5651551109961747;0.5651654124447668;0.5657977792519476;0.5666043479071944;0.5648373844520956;0.5908960384202602;0.6208598110445807;0.6190497091887689;0.6158335561659579;0.591484905346539;0.5800799709797059;0.6016495806945887;0.6422562682227511;0.7225579176252921;0.6021177241318696;0.5094343333950982;0.5211944171710073;0.6328417340785465;0.6414059973975744;0.6915160071262176;0.6425282441921305;0.38715011859062254;0.38171197071899515;0.2819359397651037;0.2941691460368893;0.29697359853386407;0.29963285097568043;0.2245024972314444;0.22984239309855733;0.23931156851373658;0.6579667957149834;0.4092413196259989;0.25991971636832795;0.2786094616019393;0.5804669940913934;0.25991971636832795;0.43193894997701887
16;-0.7213373939140494;-0.4363002123075094;0.8927734759950144;0.8754423464108095;0.9579543464159759;0.974203516305375;0.9796896361369404;0.9692332135737588;0.9615066932372038;0.9699801762198478;0.9654034740581018;0.9413788795311206;0.9913527973871936;1.0;0.975573909148201;0.9707915951477334;0.7187267417487444;0.8250472701787667;0.9288558059407281;0.9092326182679351;0.9415011820488808;0.9329551527195028;0.9095723361224771;0.9437647332457154;0.9604653095271063;0.8930560859996366;0.894849068156638;0.9329254259493991;0.9168476601223553;0.9323323902770276;0.9297150101428772;0.9368663176614106;0.9180964048760815;0.9044851108926788;;;0.8073038876691891;0.8237897322941572;;0.8804761933821361;0.7640138322311184;0.8129389794661703;0.6156760823808495;0.6156760823808495;0.5870625717528625;0.5825505850265623;0.5823679176469277;0.5829766922012884;0.5835812697667971;0.5813756149389601;0.606739090310386;0.6359322878892313;0.6351929090815732;0.6319240949705588;0.609829914611769;0.5981652178994897;0.5944023778896996;0.6341341506173926;0.7085864883331456;0.5949408345973127;0.5102838098804423;0.522358087985987;0.6284374939619529;0.6375055323392147;0.6908202527352776;0.6502119374188279;0.3949503808100657;0.38972737710343824;0.2952111913317716;0.30550542004802106;0.3082346251655924;0.3106195913884683;0.24051090473291759;0.24625698266711862;0.2562606815827152;0.6445081836192189;0.4079191076066377;0.262931523563322;0.29005871875375927;0.573345617226158;0.262931523563322;0.46241838246346356
