;SE/CO;mlt;129;130;134;135;141;144;145;148;149;154;160;161;183;196;197;198;199;201;203;205;206;207;209;211;225;227;228;229;230;237;238;239;240;241;122;123;125;Vazão posto 122;Vazão posto 123;Vazão posto 125;Vazão posto 129;Vazão posto 130;Vazão posto 134;Vazão posto 135;Vazão posto 141;Vazão posto 144;Vazão posto 145;Vazão posto 148;Vazão posto 149;Vazão posto 154;Vazão posto 160;Vazão posto 161;Vazão posto 183;Vazão posto 196;Vazão posto 197;Vazão posto 198;Vazão posto 199;Vazão posto 201;Vazão posto 203;Vazão posto 205;Vazão posto 206;Vazão posto 207;Vazão posto 209;Vazão posto 211;Vazão posto 225;Vazão posto 227;Vazão posto 228;Vazão posto 229;Vazão posto 230;Vazão posto 237;Vazão posto 238;Vazão posto 239;Vazão posto 240;Vazão posto 241
SE/CO;1.0;0.11520377676073802;-0.787668899565912;-0.7079801591665842;-0.6738511657446771;-0.2788610183520972;-0.6317956042048799;-0.8117412752815113;-0.8078593158340925;-0.795956724171653;-0.7967030788475098;-0.8837704964220149;-0.6747377465988809;-0.824000253149361;-0.6375360662571855;-0.8632853950575528;-0.7346759386671984;-0.7051304873264798;;-0.7963757146059717;-0.5774627374964078;-0.5790763498641429;-0.8988634236308942;-0.8808587337206649;-0.7055990163060637;-0.6516124921278666;-0.6998564202600447;-0.8509518976533068;-0.6544905919581855;-0.8807421453360558;-0.7113809245201327;-0.8908175368475414;0.2993484115743907;0.3837478698620993;0.03476168486152939;0.5620282985749284;0.5210067467713355;-0.6454363026840821;-0.13620375643640362;-0.7046178307867619;-0.7259318406815105;-0.7442616420154093;-0.7662369756082941;-0.7661593434684616;-0.6231225762544018;-0.833949731791111;-0.715432898746748;-0.7419174791563695;-0.9374598378218747;-0.7362224986811423;-0.740417015513542;-0.8460660775312542;-0.6254617630027112;-0.53807470499146;-0.6573152805809084;-0.7784170288935719;-0.8045007473321363;-0.762030123431807;-0.7661162870557395;-0.7332506887820969;-0.7302984524287558;-0.9311901457371633;-0.8249881221860507;-0.8261973670204499;-0.9387097720607658;-0.777594680821254;-0.9115082647969207;-0.9140323336799504;-0.9085201997323178;-0.8987254751476583;-0.8975300482329476;-0.6325355429276602;-0.6406591465235227;-0.6478357489891879;-0.6179865769277411;-0.9329505373586503
mlt;0.11520377676073802;1.0;-0.4261372926035437;-0.6432785184694588;-0.6780654275970568;-0.8564648980502463;-0.7500484287698572;-0.25002530803219264;-0.32171478091107675;-0.37962048410163585;-0.4271194912007749;-0.010233082890620741;-0.4942219309638409;-0.5631834488934904;-0.7774185091193698;-0.28096094473278427;-0.6925996691298177;-0.7575612187192186;;-0.10964778993798234;-0.8194808181056029;-0.82863735284341;-0.46632062736607616;-0.4433817493879383;-0.7535752568847629;-0.5604487433125022;-0.2894470484164124;-0.21171140790828327;-0.3371214133658163;0.05068264103262257;-0.7652986864555785;-0.2622490182656138;-0.7048609338017728;-0.3887428288928689;-0.8324137269195199;0.4039795824950164;0.5696508982248198;-0.6576882330752496;0.08217812184273783;-0.003216409332408766;-0.042510090570820044;-0.07616561179796637;-0.15271494327365723;-0.15707511540371502;-0.028425461129931537;0.22215399087842258;-0.10574834334066874;-0.14714658900394806;-0.24144509952173332;-0.13780524724194407;-0.0521173095011402;0.00306714321463481;0.2859021341379312;0.46232300642873886;-0.15110829324174327;-0.21590142686988656;-0.026179384299969542;-0.18653426616102434;-0.1564916520779131;-0.4241297168560427;-0.4448127866548444;-0.1131539387743626;0.2612848048857183;0.2568043356144684;-0.13384132426454048;0.09123663679780124;-0.22649438098592067;-0.33410066605907135;-0.3246237952267913;-0.39856887655534806;-0.4009598713680604;0.3746185542597757;0.35136946958741344;0.32773341805961903;0.35759196192819986;0.05009410252727935
129;-0.787668899565912;-0.4261372926035437;1.0;0.8479149218314325;0.8826911331137577;0.5737556518626383;0.8384020516032876;0.9199529104495628;0.9366155729609106;0.9421880822909671;0.9384374963087523;0.8798690740281564;0.7620107005675004;0.8987611619366412;0.8063810256718162;0.9667372970319433;0.910544528549866;0.8549151648843821;;0.8668932951089048;0.6922265887142107;0.715033610989604;0.9311269465991939;0.9532213565595261;0.8372674961777881;0.8146164562408978;0.8706091712437407;0.9520750957476009;0.8792719936259218;0.8382924192788644;0.8365828484526269;0.9582821126739851;-0.09763512638851593;-0.23179100968446215;0.2128540202412306;-0.6659295587484094;-0.7061105489011721;0.8427184047239062;-0.05195179618661498;0.727746466045981;0.7553622522518006;0.7778535152025277;0.8088186897679;0.8113890531348129;0.6597564386722966;0.7504957064731709;0.7518988930893743;0.7809299864628829;0.8443230140388187;0.7745685983688505;0.7117076330441903;0.8314608294344624;0.5220517672978049;0.3126054129489297;0.7407620302998057;0.7019693250222044;0.800485904658827;0.792130489128842;0.8112708585616064;0.8567690324155379;0.8538796486333826;0.846355818909758;0.7181469074411095;0.721444086944718;0.8558405777057334;0.7817746903344809;0.8768198510467877;0.8609885985632633;0.8562542715252734;0.8327954592678892;0.8310107787001682;0.45541789369870544;0.46370254640737235;0.4717252447190453;0.4501363372116381;0.7731132803002083
130;-0.7079801591665842;-0.6432785184694588;0.8479149218314325;1.0;0.9866887841101916;0.828656614227007;0.9750456076759433;0.8633899308333918;0.8971917906375398;0.9215013182202613;0.9435277371165838;0.6712812869133777;0.8641200139425617;0.9314563018644408;0.9178627720973165;0.8104269878200834;0.8965219857519191;0.9318440378733449;;0.6205256971755606;0.8190003903830112;0.8306280214748696;0.8515793959375817;0.8893930381979405;0.9369362739312258;0.9565646705532889;0.6926003042497385;0.7693396046873762;0.6214964352079291;0.563228651113993;0.9124331349619752;0.7855921780535841;0.2938584290291205;0.11229216447695736;0.5999209356393483;-0.4997792676621435;-0.6563627939023348;0.9810217224972728;0.24217658513793522;0.4952562439860258;0.5439474053203339;0.582859848158838;0.6467940733199836;0.6476929706899361;0.49537051585065445;0.4427983310413516;0.5825484357664766;0.6107241473778058;0.7534554441958604;0.604493673985046;0.541230801916931;0.639258852664117;0.26103671327421196;0.09629193651585281;0.5926116246036823;0.6223671932291083;0.5874089486459535;0.6502573288876012;0.6474338643390464;0.7886581872847683;0.7983513780018241;0.6588623300768753;0.38657307266015317;0.39039905710495393;0.6866436459474947;0.49106143919083683;0.7695306539131007;0.824337211042526;0.8058650906019854;0.8422351142580428;0.8431469375469188;0.20016853084564018;0.2154817950912363;0.22976974696642002;0.19997959689294104;0.5816302978664313
134;-0.6738511657446771;-0.6780654275970568;0.8826911331137577;0.9866887841101916;1.0;0.8467098304074537;0.9863517729200515;0.8558213797717725;0.8932359815699759;0.9199875998880602;0.9397970458253863;0.6601944269109584;0.8619019131972807;0.9157195923320619;0.9195666320761346;0.8263386306390265;0.9110335730291167;0.9350384784071499;;0.6449990929881717;0.8306819368805587;0.8407622325125642;0.8522927023944616;0.8821542495906594;0.9309989102436601;0.9402829146557335;0.7475749908788989;0.7903096599815559;0.7067482670045054;0.5653700125228389;0.9138886878253658;0.7912639430959366;0.2949530998972171;0.12363292925129428;0.5909647925522981;-0.5097591934639754;-0.6676610737738669;0.9805341876724626;0.19157154152771894;0.5084470222157019;0.5422154981104471;0.5754008977567318;0.6358390801655558;0.636304756680033;0.47043520622176144;0.44010508522746206;0.5625947774606292;0.5959725952010785;0.7323497296678232;0.58845251685168;0.5157881657342218;0.6204011841359535;0.24368680193068618;0.05738226545830665;0.5712899742080711;0.587733981728707;0.5739448685790837;0.6296788078744153;0.6360255811681355;0.7919006721526137;0.8001377288524121;0.6495147407949282;0.3897775485564822;0.39396098238439703;0.6707222925487653;0.49358351921438737;0.7409887803934347;0.7885673038592663;0.7725387039857908;0.8013458787779816;0.8017215009083584;0.1836572015600733;0.1997053146568216;0.21571197073030707;0.19037501191363204;0.5601659763996986
135;-0.2788610183520972;-0.8564648980502463;0.5737556518626383;0.828656614227007;0.8467098304074537;1.0;0.8933861353858802;0.5178721997585297;0.5791459238899047;0.6278351599262295;0.6671010084156587;0.23295173727358737;0.6947360163155073;0.7072675128002771;0.8549818365421231;0.4292374575061374;0.7204469929627948;0.8066362691971707;;0.3352488602295163;0.837381059665386;0.8390395464291728;0.5393567169839002;0.5580004854805581;0.812591832590383;0.7919873128599771;0.4969827256325632;0.37967526521381806;0.46681176044406014;0.08428715608713468;0.7826655318669286;0.4111726242061417;0.6093242128610684;0.5270913795244772;0.8217799156012928;-0.3149378113409761;-0.4821575930076973;0.8654118163019155;0.1886092751353691;0.04430182302357849;0.08034945341692863;0.12266220627382435;0.20683354406981933;0.20954555490986443;0.13460201855958978;-0.047189836359860245;0.2068869269459385;0.24376043762160002;0.3495272599652201;0.23557287895846238;0.1530005380278935;0.18290344507084585;-0.2023546085672163;-0.3376569687046981;0.2312321353533696;0.30549854139527544;0.12153774998290262;0.2360818661289285;0.20912335346902647;0.5106214195305583;0.5243837658451461;0.260160083007515;-0.06809504038907604;-0.06445348405354179;0.27972192830188836;0.01170160796364534;0.33449335464085583;0.44117071926463824;0.43278965745326664;0.49031515045965246;0.49290910164320884;-0.28499092949585786;-0.2689672482218222;-0.25286488397220125;-0.2739654827284838;0.11884408986624573
141;-0.6317956042048799;-0.7500484287698572;0.8384020516032876;0.9750456076759433;0.9863517729200515;0.8933861353858802;1.0;0.7911944892549252;0.8372791749848446;0.8702365276129571;0.9012463080199329;0.5942958190901885;0.8537559891837789;0.9229664399058123;0.9589887027315437;0.7592684861948427;0.9195747476960087;0.9577195680844562;;0.620579966202799;0.8931864130755767;0.9018018623087428;0.8354907977750207;0.8493781602339354;0.9557228685140436;0.9436204381531842;0.722696494056896;0.7136882848112259;0.6772597886996741;0.4851649029482806;0.937811211090156;0.7403158127338324;0.34373100653193367;0.2061191566181557;0.6392412045674926;-0.5045773937427929;-0.6559165247388515;0.9859394166262071;0.12372081899172593;0.42641317445422927;0.467207665526741;0.5048022378910025;0.572636712806573;0.5729587660152492;0.41512502853375854;0.35591927561835635;0.5106900507040896;0.5469746201920549;0.7029582658037078;0.5390075175736853;0.4723907036335766;0.5437982374289516;0.1738161589944072;0.0005807736397378668;0.5196458585990836;0.5778494894370676;0.505285685671828;0.5778538327692809;0.5725953830310593;0.7712457893293928;0.7802775280379635;0.6062551721220231;0.31277002938826387;0.31687646033405426;0.6294443700998428;0.41089346077980127;0.6924736960676448;0.761274715501232;0.7477707327155522;0.7859253638916439;0.7869923916864368;0.10813676347259858;0.125503482383743;0.14254770788414542;0.11232712785051148;0.5099117495863454
144;-0.8117412752815113;-0.25002530803219264;0.9199529104495628;0.8633899308333918;0.8558213797717725;0.5178721997585297;0.7911944892549252;1.0;0.9965883388059588;0.9888400815775298;0.9738487376442941;0.9184487203372815;0.7261295434835051;0.8636990919253321;0.716851538247981;0.9399751190721966;0.7933894292915941;0.7572756621810217;;0.8144839873909894;0.5403478541077286;0.5628537520898784;0.855827859153652;0.9201258788215108;0.7520915589134601;0.8496112839706238;0.7439190594946411;0.9312326270232177;0.7135862652585996;0.845930550757934;0.7278394942697128;0.9110156218268692;-0.1663974077730275;-0.25659893856672344;0.16290319633714598;-0.5861895049549729;-0.667345792149575;0.8428562110937122;0.20018820641125948;0.7624757790663215;0.7851651889208999;0.803719810697635;0.8221044470590154;0.8171013424853544;0.6523007574462127;0.7803919850546569;0.7116254947999513;0.7231724085059884;0.8514021484039359;0.7206156885205254;0.6701586582096295;0.8692990786763016;0.6067104658003246;0.43270200703966183;0.7064182740405366;0.6354141627342741;0.8008142876030283;0.7743461199539986;0.8170483566593029;0.8378784926318046;0.8382632390505366;0.786173029110929;0.7022965622316806;0.7041476785291357;0.8110924666440233;0.7744876088695843;0.8939914854902721;0.8735344124042205;0.8523515746689223;0.8419752689351948;0.8409739741795059;0.561168020511878;0.567165630532204;0.5716679092907855;0.5545295246624283;0.804587446943466
145;-0.8078593158340925;-0.32171478091107675;0.9366155729609106;0.8971917906375398;0.8932359815699759;0.5791459238899047;0.8372791749848446;0.9965883388059588;1.0;0.9975959355046498;0.9883828390338557;0.9020926834505054;0.7630114949178046;0.8944826136233658;0.7678745207828228;0.9414380519397143;0.8326688320102952;0.8034267077207079;;0.8154475384327006;0.6028953724346663;0.6243048743972248;0.8763415260213978;0.9351341919709389;0.7983605598593401;0.8810023195725184;0.7670748248473066;0.9278327406288458;0.734704482439295;0.8223010666694768;0.7743268981448495;0.9151956777527522;-0.10810256965075776;-0.2036477586877914;0.2253066990083168;-0.5943162244150744;-0.6821973069125777;0.8813856493317866;0.18327145585616617;0.7389408789528334;0.7654091316331885;0.7870998801817022;0.8126689992769913;0.8086277969103606;0.6396145294519943;0.7484485859759178;0.7067786121388097;0.7219511139954684;0.8542057510952831;0.7186244056131206;0.6667350641900502;0.851539857494723;0.5678233940821027;0.390166946275828;0.7033930497286673;0.6474929020494502;0.786395491385552;0.7716157383936117;0.8085423616369665;0.85376643843315;0.8547700108738712;0.7864330336025417;0.6751008623692789;0.6773551490258031;0.8113891256465489;0.7520042852433184;0.8905502259881174;0.8795397664518297;0.8596273543893201;0.8537914312658049;0.852985673506473;0.5172327250686313;0.524584450650431;0.530569923012183;0.5114890042039919;0.7886379190334323
148;-0.795956724171653;-0.37962048410163585;0.9421880822909671;0.9215013182202613;0.9199875998880602;0.6278351599262295;0.8702365276129571;0.9888400815775298;0.9975959355046498;1.0;0.9956375031760575;0.880398564832047;0.7870251064259879;0.9115251721411335;0.8023570199990336;0.9341491994666413;0.8580224690458174;0.8342580144136026;;0.8032192655490392;0.6471183832416229;0.667674623197664;0.8855491559822456;0.9406362495471121;0.8301457104894263;0.9030556597340799;0.7728661974724044;0.9162525180875024;0.742933187175427;0.7955782369629552;0.8064250327052721;0.911662881543732;-0.05632482869369231;-0.1600589666378339;0.2790239409088944;-0.5973189533651425;-0.6924331719706407;0.9087054343718654;0.1757123922270054;0.714566350435643;0.7453041226379562;0.7697668181433395;0.8009237439990763;0.797637706664079;0.6313738775367949;0.7139339309773777;0.7016597755877713;0.7187351255893698;0.8482833985234226;0.7149920145140714;0.6586591945284969;0.8284255284128349;0.5337042620821402;0.35242424687673884;0.7013255843615313;0.653252045646828;0.767697455205241;0.7653322510140728;0.7975224351830275;0.8598342551172649;0.8617005682192683;0.7762201788726455;0.6423586366668357;0.6449271802720747;0.8025696441907472;0.724938831613508;0.8815521179290197;0.8791252939225449;0.8601560748636677;0.8580808570387178;0.8573651967246501;0.4761353455859233;0.48471990115696206;0.491967464033423;0.4723020655534397;0.7680758510440021
