,price
0,-90.48051440313549
1,-15.167636554740568
2,-37.70974057896453
3,39.39264960945569
4,78.65386182161558
5,103.23835809307435
6,37.165686316012085
7,141.5731266662462
8,76.11375798696173
9,-93.34556064248754
10,-53.88083784465982
11,68.88049647605999
12,-16.290916904056758
13,74.1654073543703
14,10.709531563643964
15,-28.99671627067363
16,-44.14297624702505
17,-17.790564318250887
18,-24.248026954779846
19,-133.88179181964585
20,-23.137990267409464
21,34.601026330734726
22,91.74286103213979
23,13.50936181421173
24,2.9423512712727984
25,-141.27254912688676
26,-188.33187043977335
27,-83.6592927012593
