n_neurons,output,mse_val_norm,mse_val,mse_test_norm,mse_test,val_rmse,val_std,a,b
1.0,0.0,0.01827624325344484,175514692.14395648,0.012182294681302826,116991860.54568596,13105.405429103717,12988.820284882131,1.090490900588414,-0.037021171598456054
1.0,1.0,0.022078694196166274,2151773169.343833,0.012571825238252869,1225240754.043661,45410.84040171651,44943.459990055664,1.2483333465202564,-0.11840219714148668
1.0,2.0,0.022040169261117848,2148018559.7687955,0.012678451856525826,1235632511.0998063,45370.3145984653,44951.7160618272,1.2516943085352659,-0.1183398571197503
1.0,3.0,0.021610731011725864,1322066.667477066,0.026211323345024854,1603514.32556667,1122.4732232685578,1109.2975300481557,1.0417135617239233,-0.010742555307123782
1.0,4.0,0.026714515278151458,1761661.9365039126,0.08773879893381735,5785847.188344843,1294.6625128586838,1258.9060263066465,0.317340074061626,0.3775040317134047
1.0,5.0,0.0345007800614098,171415.08830554894,0.016629817535731218,82624.26657771367,409.61072858947796,392.5179304109401,88.04967205460888,-45.90706477575413
1.0,6.0,0.022781382388515754,3871062.6669660425,0.07264542499438617,12344070.559790572,1958.101137857509,1940.41774793987,0.9533044704385821,0.03110462706094659
1.0,7.0,0.03242842040945802,434256726.8831378,0.016255055728842234,217675335.07243827,20640.245751700124,20508.857848962904,1.1947618271679707,-0.11325158704496295
2.0,0.0,0.017512667952829068,168181747.56633118,0.01271561456761023,122113563.22668701,12743.264957113812,12618.007175405604,52.554746747441754,-24.136445856385055
2.0,1.0,0.02148182620897005,2093602853.2412314,0.013238846038018906,1290248127.1471786,44281.180055305864,43495.24491035988,107.37678474523041,-52.70171975082043
2.0,2.0,0.021399097066174745,2085540133.6966825,0.013182401270930686,1284747047.425887,44206.13756394971,43451.38596084041,83.48312711084705,-40.870689204396236
2.0,3.0,0.020989068924457177,1284035.6249317133,0.026299920932860796,1608934.4090762516,1108.7162435877963,1090.1191964495076,22.54457552183118,-8.731904278802993
2.0,4.0,0.019986831928618033,1318011.6026733706,0.07361147111872075,4854234.717078857,1126.5856130144307,1096.8127926875645,71.90494151364723,-38.189079554584026
2.0,5.0,0.032769419187184644,162812.92415127033,0.01643422152465841,81652.4593233643,398.35102894132336,384.5321188438844,-17.965462452356054,9.819696693359912
2.0,6.0,0.02474896960425356,4205399.411599368,0.07131436565905497,12117894.052899446,2033.6495288278188,2008.7487324958652,149.40219846184513,-76.12760552530372
2.0,7.0,0.033798077912118064,452598138.4509777,0.017875491539636305,239374977.6708005,20705.211146530823,20640.583221523073,13.853440427851924,-6.856653812950411
3.0,0.0,0.013610541374548842,130707933.63615501,0.007992181228035517,76752383.1382151,11352.403277850439,11316.03952774785,0.9967256264667701,0.0017494014169197759
3.0,1.0,0.012421460962474914,1210586360.3008082,0.00828029103341001,806991019.0794405,34351.8180312028,34142.82528674608,1.0238900618716391,-0.013461871539121189
3.0,2.0,0.012307804492761941,1199509481.6688066,0.00824861831752166,803904215.72913,34215.4371195889,33997.83889873646,1.0306402818187255,-0.017058728074744643
3.0,3.0,0.018941505742713294,1158773.0751583,0.023224015273544604,1420761.5872387579,1055.3949746248452,1042.529655463973,1.1269071679434588,-0.04974889836436756
3.0,4.0,0.015246718247942305,1005429.5568795279,0.06448906256828915,4252666.616835528,972.3413588883543,956.9038454448212,1.0153054861115347,-0.0038706220898979266
3.0,5.0,0.0302046744229263,150070.141540991,0.01393417779349245,69231.13959476212,381.4843059644279,373.20347202344846,0.34229665838320966,0.35186912410194804
3.0,6.0,0.021360793618888506,3629673.0838267,0.0639356236645826,10864081.964361053,1889.5576251317993,1870.7208851427172,1.163889460123615,-0.08040843501455948
3.0,7.0,0.015037971382484963,201377068.45207852,0.008477243587327514,113520793.5252862,13039.521631727093,12971.483005352648,0.9767685722988158,0.006965769035108239
4.0,0.0,0.013973358316965084,134192221.50997213,0.008679072854802678,83348901.6697141,11531.465798555026,11454.364421026394,1.0026800345244333,0.0011334358126537155
4.0,1.0,0.01324806655258935,1291146723.3645356,0.008677711725643512,845723332.8551614,35283.39052223185,34839.8639571374,1.0239863256801924,-0.014667223810796224
4.0,2.0,0.013205644809513688,1287012339.5538294,0.008858738216534816,863366021.551686,35239.05022488557,34804.783870206375,1.0210868393781498,-0.013005516514718669
4.0,3.0,0.017391584836487173,1063954.5065630092,0.019631224508927774,1200967.5839764238,1013.8175467877265,1004.7676942382694,1.125769631459474,-0.04603302782472238
4.0,4.0,0.01525282720587632,1005832.412716508,0.053994531901444515,3560615.3248518575,963.0869119804415,938.5325505940891,0.9986663707612226,-0.0023164117169139267
4.0,5.0,0.0277757696352979,138002.27119120565,0.01460609137021069,72569.50281591619,365.58534308760784,357.7460837145095,0.8449826420859041,0.0878879047657959
4.0,6.0,0.019494910703163087,3312618.146025077,0.050416841183867814,8566940.665936813,1802.315957198288,1787.1116031563192,0.9268306184451746,0.047319662855467404
4.0,7.0,0.00979264738351406,131135683.47117807,0.011053398518854039,148018701.91653708,11189.06631400797,11027.475043176999,1.0084845984015478,-0.004614605141478334
5.0,0.0,0.013230817054378678,127061276.19544266,0.007059542355612582,67795847.73858918,11107.492278875858,11085.33404483728,0.9788903656868558,0.013774203038024856
5.0,1.0,0.011186586215038747,1090236389.3760672,0.006351725862608993,619034477.181837,32317.121566566406,32184.572995736104,1.0091694438638188,-0.0015981770098943944
5.0,2.0,0.011141571630899884,1085849302.3431425,0.0063247207704236145,616402582.4143345,32252.140161477815,32114.907172010793,1.007921700836198,-0.0008263931092797093
