,rmse,std,a(mean),b(mean)
1,23.24600165476432,21.664028034205593,14.58984361236436,-5.477085940381921
2,21.402190357530337,20.065332413307598,1.7945085459066064,-0.2886858351672191
3,24.240884608503716,21.789806688829,4.537231601115565,-1.432403471499225
4,24.617127710412205,22.813679679687773,-1.3945188502490278,0.8451150359539511
5,23.625170494252835,21.763453675682793,0.7396268354949561,0.3049438539133648
6,23.630483607118304,21.891561614496066,4.053371185617652,-0.8185167380523347
7,21.681898785927917,18.80498910919701,0.4748109162896347,0.27953108434477225
8,23.007236478040586,20.18810154776432,1.8000295223085923,-0.2460712373113506
9,22.403827767207634,20.993463585008186,4.04750079453607,-1.2799964088730706
10,21.88124217369463,19.143975809248367,-1.6601643490722044,1.504651803487239
11,23.436557603521123,20.725482748809863,-1.203577699420251,0.8769824800792961
12,22.684375725909625,20.859408337465137,1.8099383744210704,-0.19373860524199987
13,20.59967799873568,17.708114086758133,-0.15547610910965798,0.5324906317122293
14,21.793035132859327,19.139100980419506,2.606620625560281,-0.4021695444395186
15,24.27585304164581,21.852535852995093,-0.5695791628260211,0.6985137948523288
16,23.414038969177078,20.277545488942778,10.715671969484207,-4.563540545239922
17,22.006413439144353,19.328956217330916,0.44783130045002717,0.22002909864098003
18,22.971952235250686,20.244483530526526,0.2562215396995506,0.3684928028985946
19,23.33714193870488,21.129652378186666,-1.8044112729209276,0.9444809967871315
20,24.221148115085285,21.81683469281243,-0.5981661275761838,0.6714046832346882
21,22.892285626995193,20.237461702441806,1.9532238753263347,-0.2673141484509792
22,23.828146536527225,20.882537222357648,-0.7631450293473787,0.7463172353580956
23,23.50021328084056,20.269626995764696,-0.14930086023173333,0.4369400302102223
24,23.13093304859211,21.002908572629366,0.2141379096360053,0.34375044893448437
25,22.977990217572795,20.564047655010697,-0.348818194274304,0.4539271678689513
26,22.983108987506657,21.459606469404182,6.942446542967444,-1.8939375160911835
27,22.343455571380836,18.843456521473133,4.906204681401051,-1.6548232918201815
28,22.29323754603908,20.87903506659554,4.839305142206388,-1.0458115028980104
29,20.72957478914079,17.937323526127045,-0.24060616290381678,0.5391361184047452
30,23.423536339011367,21.612902049553348,-0.8901045195401864,0.691703478481247
31,23.06606123417745,20.771205269402795,10.725010222852637,-3.2060394668134466
32,24.64262640064735,22.728727884961607,2.03089050534698,-0.2333154061934784
33,25.310743178174018,21.952130278785653,-0.8396278825645086,0.6709078283149703
34,21.655404856887287,19.79758183754916,3.8420011077398732,-0.837545169203052
35,24.02257162542377,21.977229420566633,0.5358941105837194,0.30034465816146294
36,22.85070032791844,19.771225391228462,4.873664670438245,-1.336541531493206
37,22.392075165977403,20.46969447387777,-1.2634661468991948,1.0206383806045525
38,22.981617355207497,21.280314684585434,-4.584577368535051,2.464866468600544
39,21.66217781404497,18.597589529419146,-0.461868759012811,0.5970929538858288
40,22.524347363129376,21.400502359700212,0.7973472367805946,0.11063414626195561
41,23.857869279640298,20.990243930047523,0.7000652850424637,-0.037848645761911714
42,23.411430114521586,21.062877797387735,3.3005580819356286,-0.7610402786519445
43,25.64553423117687,24.153934849580683,-0.7533031263893843,0.6743099397448771
44,21.725341031216765,19.888276399163228,-0.6823997585248197,0.6231033320181957
45,23.013103347189787,20.810878056811756,0.44366311444255874,0.185588012264658
46,25.296846821884607,22.560351496428076,1.6284364852794826,-0.30626183423429443
47,23.062154868390778,21.386618069913162,0.28093259690339384,0.1908748529907438
