Mês		SE/CO	S		NE		N
09/2007	149.53	149.80	149.11	149.53
08/2007	39.27	36.13	45.81	44.36
07/2007	122.59	122.19	118.94	122.87
06/2007	97.15	59.42	97.19	97.35
05/2007	59.96	23.48	53.37	53.37
04/2007	49.36	49.05	28.07	24.25
03/2007	17.59	17.59	17.59	17.59
02/2007	17.59	17.59	17.59	17.59
01/2007	22.62	26.28	17.59	17.59
12/2006	58.75	59.18	17.58	45.23
11/2006	80.82	80.82	24.40	80.82
10/2006	92.42	92.42	46.25	92.42
09/2006	123.88	123.88	68.56	123.88
08/2006	104.98	105.19	51.94	104.98
07/2006	90.90	91.44	30.61	90.90
06/2006	67.89	70.01	23.44	44.84
05/2006	51.91	52.51	19.79	16.97
04/2006	20.87	21.06	16.92	16.92
03/2006	28.56	42.67	36.10	18.94
02/2006	58.02	63.63	37.62	29.20
01/2006	28.64	28.78	19.14	19.14
12/2005	19.20	19.19	18.40	19.20
11/2005	35.73	24.17	19.79	35.73
10/2005	43.12	18.83	18.86	43.12
09/2005	31.94	29.42	18.40	31.94
08/2005	34.51	34.51	18.50	34.51
07/2005	31.74	31.56	18.33	31.74
06/2005	26.45	24.07	18.33	25.42
05/2005	43.96	79.35	18.33	20.28
04/2005	24.88	83.97	18.33	18.87
03/2005	18.33	26.78	18.33	18.33
02/2005	18.33	18.99	18.33	18.33
01/2005	18.33	18.33	18.33	18.33
12/2004	18.59	18.59	18.59	18.59
11/2004	18.59	18.59	18.59	18.59
10/2004	18.75	18.75	18.59	18.75
09/2004	18.59	18.59	18.59	18.59
08/2004	18.59	18.59	18.59	18.59
07/2004	18.59	18.59	18.59	18.59
06/2004	18.59	18.59	18.59	18.59
05/2004	18.59	18.59	18.59	18.59
04/2004	18.59	18.59	18.59	18.59
03/2004	18.59	18.59	18.59	18.59
02/2004	18.59	18.59	18.59	18.59
01/2004	23.68	23.68	294.09	21.48
12/2003	20.18	20.18	49.41	19.93
11/2003	28.03	29.85	24.70	27.91
10/2003	25.82	26.30	19.88	25.73
09/2003	18.30	20.52	15.44	18.30
08/2003	16.95	18.56	13.37	16.89
07/2003	13.13	13.92	9.87	13.10
06/2003	11.22	11.22	10.53	10.43
05/2003	7.30	7.30	6.34	6.23
