,trend,seasonality,senoidal_cycle,residual
0,221387.0,72832.55447048611,6041.976946302877,
1,246642.0,82944.04926215277,7079.344916124297,
2,271896.9999999998,87404.68728298614,7020.874428957229,
3,206170.66666666672,55269.4138454861,5879.560954639837,
4,135004.99999999994,5328.598741319439,3909.0692999851663,
5,93027.19999999987,-19925.172092013894,1547.354852493868,
6,57261.266666666575,-47277.14084201389,-680.6750310463458,
7,29234.285714285594,-67255.09917534723,-2279.825312024749,
8,9784.28571428571,-74213.47938368056,-2894.6737894268235,
9,-164.13888888893416,-65256.14865451388,-2388.5661401862844,
10,-8656.06666666668,-41374.302300347226,-873.9882868476984,
11,-2108.2363636363298,11522.038845486106,1312.434376062658,
12,18275.9545454545,72832.55447048611,3684.7543022494237,
13,60224.653846153786,7844.4750434027665,5715.7069939944595,
14,100540.44395604394,6595.603949652788,6953.899180482638,
15,122883.86857142852,-4993.3674045138905,7124.134091632337,
16,129337.08535714287,-18022.851779513894,6188.575842017313,
17,121922.54167542016,-4201.566623263894,4355.158717871142,
18,116206.5,32795.989366319445,2031.3723450235248,
19,112585.64285714286,32877.66644965277,-266.30569643263607,
20,109989.21428571429,33531.965060763905,-2027.2005834800839,
21,108640.0,15094.226345486108,-2859.9412586555136,
22,108599.21428571429,-10239.034939236117,-2579.4453521743426,
23,109901.28571428571,-9442.76844618056,-1248.0550176434099,
24,114875.42857142857,12777.70681423611,838.3190423992662,
25,122635.5,7844.4750434027665,3215.9657750400866,
26,132475.2142857143,6595.603949652788,5356.43676301553,
27,134061.2142857143,-4993.3674045138905,6783.997537337171,
28,131579.35714285713,-18022.851779513894,7181.362850629471,
29,127491.5,-4201.566623263894,6460.215515985714,
30,122355.78571428571,24788.67634548611,4780.835512081629,
31,120238.78571428571,22864.389887152767,2516.476650286443,
32,118249.28571428571,22757.420616319458,170.40833568260382,
33,116873.0,7059.188845486108,-1735.9395361003753,
34,117845.57142857143,-13352.561675347228,-2778.867976576251,
35,120437.42857142857,-7346.287717013894,-2726.5789326015865,
36,126466.42857142857,12777.70681423611,-1590.6940055478203,
37,137314.7142857143,7844.4750434027665,376.3285299159222,
38,143894.2857142857,6595.603949652788,2737.304322002787,
39,146348.64285714287,-4993.3674045138905,4967.490185193359,
40,139118.5,-18022.851779513894,6571.211899500204,
41,131278.85714285713,-4201.566623263893,7192.031231260601,
42,124849.85714285714,21356.970765128965,6691.966793764902,
43,119749.85714285714,18572.98564608134,5182.161363985244,
44,115396.07142857143,18139.75871155755,2998.1796323315416,
45,113170.42857142857,3615.6013454861086,625.4266312594905,
46,113317.28571428571,-14686.930276537705,-1408.7368876271066,
47,116343.57142857143,-6447.795975942465,-2652.204024992069,
48,124650.14285714286,12777.70681423611,-2828.6056164683796,
49,131927.2142857143,7844.4750434027665,-1898.735189311892,
50,137016.5,6595.603949652788,-69.26287190851326,
51,137658.92857142858,-4993.3674045138905,2253.198470471544,
52,138006.85714285713,-18022.851779513894,4552.465754913658,
53,131408.92857142858,-4201.566623263894,6317.510938164073,
54,126611.0,19450.467664930555,7156.040530747519,
55,123239.57142857143,16188.87217881943,6881.685535980762,
56,120217.64285714286,15574.390986689825,5555.423247404728,
57,119124.78571428571,1702.497178819442,3472.024623906015,
58,121027.28571428571,-15428.246166087969,1094.5394070645573,
59,124178.07142857143,-5948.633897569449,-1048.619883858696,
60,132708.07142857142,12777.706814236111,-2481.121285967669,
61,147743.5,7844.475043402765,-2884.581463218311,
62,156096.7857142857,6595.6039496527865,-2169.328603070003,
63,158066.64285714287,-4993.3674045138905,-494.3325965077902,
64,155280.07142857142,-18022.851779513894,1768.127118804534,
65,148602.2857142857,-4201.566623263893,4115.203236214479,
66,140904.64285714287,18237.238419349746,6025.2418689544575,
67,137749.42857142858,14671.709063289129,7073.723731409955,
68,135755.5,13941.88425268309,7027.616484025412,
69,133691.57142857142,485.06725457701793,5897.167781160181,
70,133010.64285714287,-15899.992641256318,3933.6276590898497,
71,135277.7857142857,-5630.985302241166,1573.4064791592978,
72,138555.42857142858,12777.70681423611,-658.9202908785901,
73,143186.2857142857,7844.475043402766,-2267.2025996949033,
74,147985.57142857142,6595.603949652786,-2893.988589980665,
75,144707.7142857143,-4993.3674045138905,-2399.970743935789,
76,139721.14285714287,-18022.851779513894,-894.947941797031,
77,136373.14285714287,-4201.566623263893,1286.5780980695029,
78,132769.57142857142,17397.310480101496,3659.7481376783417,
79,128471.5,13621.365367921997,5697.108735728787,
80,126212.85714285714,12811.68728298612,6945.8424199468445,
81,124165.92857142857,-357.7688468215834,7128.409499532342,
82,124493.64285714286,-16226.586354834406,6204.233179401852,
83,127588.78571428571,-5411.074736244662,4378.718033305084,
84,133439.07142857142,12777.706814236111,2057.5974178429838,
85,141246.2142857143,7844.475043402766,-243.24356989255466,
86,148844.35714285713,6595.603949652786,-2012.4271202155978,
87,151452.35714285713,-4993.3674045138905,-2856.7399629704387,
88,148383.0,-18022.851779513894,-2588.5277341575493,
89,140788.57142857142,-4201.566623263892,-1267.4024551345237,
90,132645.07142857142,16781.36332465278,813.0066510847921,
91,128350.71428571429,12851.113324652766,3190.314283795373,
92,125807.78571428571,11982.876171875008,5336.147393036461,
93,126945.42857142857,-975.848654513891,6773.579741313245,
94,129421.0,-16466.08841145834,7183.13205571998,
95,134122.0,-5249.806987847226,6473.778504133044,
96,144382.42857142858,12777.70681423611,4803.1778154419535,
97,156121.35714285713,7844.4750434027665,2542.632537539427,
98,163316.07142857142,6595.603949652788,194.56448013360932,
99,165269.5,-4993.3674045138905,-1719.1520044885751,
