,price
20,149.02
21,200.21
22,166.05
23,122.19
24,121.44
25,128.43
26,216.24
27,371.47
28,411.49
29,124.7
30,280.81
31,505.95
32,521.83
33,533.82
34,425.17
35,235.07
36,180.07
37,188.79
38,219.23
39,109.71
40,325.46
41,472.87
42,505.18
43,505.18
44,472.75
45,271.83
46,123.92
47,78.96
