,trend,seasonality,senoidal_cycle,residual
0,77797.0,-5552.8598090277765,1657.4542865931971,
1,104684.0,6580.317274305556,1550.5453583788276,
2,131570.99999999994,18747.939670138887,1401.051241569572,
3,138131.33333333334,23356.351128472223,1215.4490375036216,
4,133713.49999999997,22480.200086805555,1001.7802953066644,
5,131007.29999999994,18488.004774305555,769.3025973207477,
6,125856.39999999995,11188.06987847222,528.0884577080222,
7,119824.71428571426,-1126.8728298611093,288.5889126685916,
8,110787.24999999997,-14419.424913194445,61.18071051052107,
9,101555.7777777778,-25750.325954861117,-144.28327962356684,
10,89728.13333333335,-30235.628038194438,-318.9009610234624,
11,80052.70909090909,-23755.771267361117,-455.10670875350286,
12,75030.34848484845,-5552.8598090277765,-546.9991639527613,
13,80970.73076923075,2726.722222222223,-590.5969208158159,
14,90921.06153846155,2164.257378472221,-584.0110281561848,
15,100718.6832142857,-1196.987413194447,-527.5268316120065,
16,106500.2423214286,-3877.7139756944416,-423.59161053333435,
17,107744.78124999999,-2633.883246527781,-276.7085452051341,
18,106235.35714285714,27.45008680555596,-93.24160846658992,
19,106550.71428571429,4011.2539062500005,118.86016485185655,
20,106148.64285714286,7692.1514756944425,350.4070841515969,
21,104958.64285714286,6987.4587673611095,591.3669629301762,
22,103344.0,4908.2573784722235,831.2997812952162,
23,101688.5,4406.746093749997,1059.8100185929447,
24,101231.71428571429,2817.605034722222,1266.997058027349,
25,102364.78571428571,2726.722222222223,1443.8841486799397,
26,105545.57142857143,2164.257378472221,1582.8073393797627,
27,107719.85714285714,-1196.987413194447,1677.747533164389,
28,109350.0,-3877.7139756944416,1724.59127547565,
29,110404.35714285714,-2633.883246527781,1721.3089769725998,
30,111013.14285714286,1143.5120659722224,1668.0428491380721,
31,111565.07142857143,3497.4412326388897,1567.1007427105508,
32,111785.28571428571,5480.993836805554,1422.8561559023683,
33,111620.85714285714,3713.680295138887,1241.5587447279754,
34,111971.35714285714,1393.8688368055577,1031.0635454228309,
35,113149.85714285714,1590.4943576388862,800.4906408785012,
36,116176.21428571429,2817.605034722222,559.8300166572645,
37,121234.71428571429,2726.722222222223,319.50872690990104,
38,126501.28571428571,2164.257378472221,89.93912351109753,
39,131407.85714285713,-1196.987413194447,-118.9322778024798,
40,133870.07142857142,-3877.7139756944416,-298.0557481061811,
41,135081.92857142858,-2633.883246527781,-439.6704410605761,
42,135324.07142857142,1621.8243427579364,-537.6406455298892,
43,134766.42857142858,3277.235801091271,-587.7216262963412,
44,133217.35714285713,4533.354848710316,-587.7435348437317,
45,131304.42857142858,2310.63237847222,-537.7054219448629,
46,129506.78571428571,-112.29768105158499,-439.7752787885139,
47,128655.64285714286,383.52932787698126,-298.1961048640658,
48,129340.57142857143,2817.605034722222,-119.10207238148053,
49,130856.57142857143,2726.722222222223,89.74724776634827,
50,132637.42857142858,2164.257378472221,319.3030833609495,
51,133867.0,-1196.987413194447,559.6195151805296,
52,135054.2857142857,-3877.7139756944416,800.284401828847,
53,135113.7142857143,-2633.883246527781,1030.8705044778305,
54,134367.92857142858,1887.5533854166667,1241.3872657335696,
55,132817.2857142857,3154.899450231482,1422.7136684942361,
56,130194.71428571429,4006.8887442129617,1566.9934204117778,
57,126937.78571428571,1531.1613136574051,1667.975341880181,
58,124151.71428571429,-949.0568576388864,1721.2842096288846,
59,121595.0,-287.0067997685215,1724.6103211357981,
60,121119.0,2817.6050347222217,1677.8095666409408,
61,124121.35714285714,2726.722222222223,1582.9096729608316,
62,126924.64285714286,2164.2573784722213,1444.0223485791762,
63,129577.07142857143,-1196.987413194447,1267.165136485693,
64,131464.85714285713,-3877.7139756944416,1060.000693309062,
65,132337.0,-2633.883246527781,831.5047909442634,
66,132388.42857142858,2056.6536852904037,591.5774251005951,
67,132162.07142857142,3077.04904513889,350.6138801915316,
68,131747.85714285713,3671.864859532827,119.0543349511525,
69,130840.35714285714,1035.134272411614,-93.06847707653571,
70,129949.21428571429,-1481.5399700126238,-276.5639537530054,
71,129787.85714285714,-713.711608270205,-423.4818237037091,
72,129907.21428571429,2817.605034722222,-527.4566061166257,
73,131033.78571428571,2726.722222222223,-583.9834066408774,
74,132705.2142857143,2164.257378472221,-590.6131000323816,
75,132788.57142857142,-1196.987413194447,-547.0584429075587,
76,132565.14285714287,-3877.7139756944416,-455.20651907926117,
77,132067.64285714287,-2633.883246527781,-319.0369782583932,
78,130950.57142857143,2173.72312366453,-144.44961057646913,
79,129110.57142857143,3023.152610844018,60.99127242717475,
80,126842.78571428571,3439.925247061964,288.3845752002841,
81,123914.71428571429,691.7309361645275,527.8780741428961,
82,121197.64285714286,-1850.1821247329035,769.0952829049352,
83,119535.07142857143,-1009.1226295406013,1001.5850323098946,
84,120104.64285714286,2817.605034722222,1215.274286046223,
85,122528.0,2726.722222222223,1400.9045730725798,
86,126574.64285714286,2164.2573784722204,1550.4331275185145,
87,130603.64285714286,-1196.987413194447,1657.3813559733308,
88,133032.5,-3877.7139756944416,1717.1155341913864,
89,133530.64285714287,-2633.883246527781,1727.0475715245057,
90,133034.7142857143,2259.5740451388892,1686.7471446016107,
91,132115.85714285713,2983.6285590277785,1597.9603418623237,
92,131161.0,3269.836197916665,1464.5340111365765,
93,130764.85714285714,439.90182291666423,1292.2490880473674,
94,131143.85714285713,-2120.5197048611085,1088.5701265832247,
95,132606.92857142858,-1225.7573784722254,862.3218838785253,
96,135560.42857142858,2817.605034722222,623.3069717474345,
97,139443.64285714287,2726.722222222223,381.8811409061053,
98,142661.7142857143,2164.257378472221,148.50459945765215,
