MAX MIN 1 CE Simp 4,MIN MAX 1 CE Simp 4,Month of Data Escala de Tempo 1 CE Simp 4,Data Escala de Tempo 1 CE Simp 4,Período Exibido CE Simp 4,Subsistema,Selecione Tipo de CE Simp 4
4/6/2016,3/27/2016,April 2016,4/1/2016 12:00:00 AM,Mês,Sudeste/Centro-Oeste,40562.77142847
3/6/2016,2/25/2016,March 2016,3/1/2016 12:00:00 AM,Mês,Sudeste/Centro-Oeste,39743.02162886
2/6/2016,1/27/2016,February 2016,2/1/2016 12:00:00 AM,Mês,Sudeste/Centro-Oeste,40324.15728661
1/6/2016,12/27/2015,January 2016,1/1/2016 12:00:00 AM,Mês,Sudeste/Centro-Oeste,37362.51974634
12/6/2015,11/26/2015,December 2015,12/1/2015 12:00:00 AM,Mês,Sudeste/Centro-Oeste,38110.38337257
11/6/2015,10/27/2015,November 2015,11/1/2015 12:00:00 AM,Mês,Sudeste/Centro-Oeste,38433.06889509
10/6/2015,9/26/2015,October 2015,10/1/2015 12:00:00 AM,Mês,Sudeste/Centro-Oeste,39159.22561865
9/6/2015,8/27/2015,September 2015,9/1/2015 12:00:00 AM,Mês,Sudeste/Centro-Oeste,37944.84847428
8/6/2015,7/27/2015,August 2015,8/1/2015 12:00:00 AM,Mês,Sudeste/Centro-Oeste,36645.6938438
7/6/2015,6/26/2015,July 2015,7/1/2015 12:00:00 AM,Mês,Sudeste/Centro-Oeste,35804.65631059
6/6/2015,5/27/2015,June 2015,6/1/2015 12:00:00 AM,Mês,Sudeste/Centro-Oeste,35762.25387528
5/6/2015,4/26/2015,May 2015,5/1/2015 12:00:00 AM,Mês,Sudeste/Centro-Oeste,36216.22456983
4/6/2015,3/27/2015,April 2015,4/1/2015 12:00:00 AM,Mês,Sudeste/Centro-Oeste,38008.00657551
3/6/2015,2/24/2015,March 2015,3/1/2015 12:00:00 AM,Mês,Sudeste/Centro-Oeste,39364.21499493
2/6/2015,1/27/2015,February 2015,2/1/2015 12:00:00 AM,Mês,Sudeste/Centro-Oeste,40056.05793554
1/6/2015,12/27/2014,January 2015,1/1/2015 12:00:00 AM,Mês,Sudeste/Centro-Oeste,41386.73862457
