MAX MIN 1 GE Simp 4,MIN MAX 1 GE Simp 4,Month of Data Escala de Tempo 1 GE Simp 4,Data Escala de Tempo 1 GE Simp 4,"dsc_estado, dsc_estado, dsc_estado and 1 more","id_subsistema (gr_usinaprevcarga), id_subsistema (gr_usinaprevcarga), id_subsistema (gr_usinaprevcarga) and 1 more","nom_tipousinasite, nom_tipousinasite, nom_tipousinasite and 1 more","nom_usina, nom_usina, nom_usina and 1 more",Período Exibido GE,Selecione Tipo de GE Simp 4
4/6/2016 12:00:00 AM,3/27/2016 12:00:00 AM,April 2016,4/1/2016 12:00:00 AM,*,Sudeste/Centro-Oeste,Hidrelétrica,*,Mês,30455.64638056
3/6/2016 12:00:00 AM,2/25/2016 12:00:00 AM,March 2016,3/1/2016 12:00:00 AM,*,Sudeste/Centro-Oeste,Hidrelétrica,*,Mês,32396.12433443
2/6/2016 12:00:00 AM,1/27/2016 12:00:00 AM,February 2016,2/1/2016 12:00:00 AM,*,Sudeste/Centro-Oeste,Hidrelétrica,*,Mês,32191.33484955
1/6/2016 12:00:00 AM,12/27/2015 12:00:00 AM,January 2016,1/1/2016 12:00:00 AM,*,Sudeste/Centro-Oeste,Hidrelétrica,*,Mês,31307.3049506
12/6/2015 12:00:00 AM,11/26/2015 12:00:00 AM,December 2015,12/1/2015 12:00:00 AM,*,Sudeste/Centro-Oeste,Hidrelétrica,*,Mês,28067.66809229
11/6/2015 12:00:00 AM,10/27/2015 12:00:00 AM,November 2015,11/1/2015 12:00:00 AM,*,Sudeste/Centro-Oeste,Hidrelétrica,*,Mês,27779.07419617
10/6/2015 12:00:00 AM,9/26/2015 12:00:00 AM,October 2015,10/1/2015 12:00:00 AM,*,Sudeste/Centro-Oeste,Hidrelétrica,*,Mês,27128.17184488
9/6/2015 12:00:00 AM,8/27/2015 12:00:00 AM,September 2015,9/1/2015 12:00:00 AM,*,Sudeste/Centro-Oeste,Hidrelétrica,*,Mês,23805.56709454
8/6/2015 12:00:00 AM,7/27/2015 12:00:00 AM,August 2015,8/1/2015 12:00:00 AM,*,Sudeste/Centro-Oeste,Hidrelétrica,*,Mês,22751.31828376
7/6/2015 12:00:00 AM,6/26/2015 12:00:00 AM,July 2015,7/1/2015 12:00:00 AM,*,Sudeste/Centro-Oeste,Hidrelétrica,*,Mês,23401.04813915
6/6/2015 12:00:00 AM,5/27/2015 12:00:00 AM,June 2015,6/1/2015 12:00:00 AM,*,Sudeste/Centro-Oeste,Hidrelétrica,*,Mês,23403.7138477
5/6/2015 12:00:00 AM,4/26/2015 12:00:00 AM,May 2015,5/1/2015 12:00:00 AM,*,Sudeste/Centro-Oeste,Hidrelétrica,*,Mês,24783.93303173
4/6/2015 12:00:00 AM,3/27/2015 12:00:00 AM,April 2015,4/1/2015 12:00:00 AM,*,Sudeste/Centro-Oeste,Hidrelétrica,*,Mês,25719.07952314
3/6/2015 12:00:00 AM,2/24/2015 12:00:00 AM,March 2015,3/1/2015 12:00:00 AM,*,Sudeste/Centro-Oeste,Hidrelétrica,*,Mês,27382.62026095
2/6/2015 12:00:00 AM,1/27/2015 12:00:00 AM,February 2015,2/1/2015 12:00:00 AM,*,Sudeste/Centro-Oeste,Hidrelétrica,*,Mês,26648.05487266
1/6/2015 12:00:00 AM,12/27/2014 12:00:00 AM,January 2015,1/1/2015 12:00:00 AM,*,Sudeste/Centro-Oeste,Hidrelétrica,*,Mês,27963.10908224
