,a_comp,b_comp,a_test,b_test
0,0.8386584612881145,37.0532520088894,0.7659528239927171,107.95527705990771
1,0.6834354818891912,24.25623214886428,0.501659139520291,-43.09677878017567
2,0.14447507265375034,-20.64252296150827,0.25548191564528927,6.237900180375732
3,-0.04305885019031819,-108.38957638141308,-0.17989310189515506,-106.18278487450786
4,0.0751966802566906,-135.42862799785658,0.2689585879788835,-148.8358435089425
5,0.053490673036156657,-62.29622275191476,-0.018766235456494296,-78.62932977881194
6,-0.38489807555745836,90.92173106904707,-0.522257388311268,-8.664599933659737
7,-0.5865797561374329,86.8358631355019,-0.890651788513042,28.147975076154694
8,-0.5743632120404999,58.60671053857998,-1.2527493639671115,34.363297057445365
9,-0.12672329183503855,30.994100860078596,-0.17918058016963181,113.16725966638046
10,0.29777591890201827,-11.623896857421016,0.28501901829405996,177.94059746921434
