,price
21,4.480199388180733
22,-30.173537417878013
23,14.901294711210115
24,-5.291691913186025
25,-9.617062117557785
26,9.743423941619014
27,21.57474912983317
28,-14.021718987880455
29,-47.751785109796124
30,74.3768128247768
31,12.73523173014091
32,-10.5962140651652
33,10.657434554460963
34,-30.204913662868723
35,1.0624577791827257
36,11.373502746253152
37,5.697053083890037
38,8.665418223043208
39,-22.575466411849007
40,73.56539920675746
41,27.635484436849502
42,6.463458054363791
43,0.48415823003294634
44,-1.1663551689282272
45,-33.43968383271658
46,-4.572758693370908
47,29.519953338087753
