MAX MIN 1 ENAS Simp 4,Measure Names,MIN MAX 1 ENAS Simp 4,Month of Data Escala de Tempo 1 ENAS Simp 4,Data do Incio da Semana Din Instante ENAS Simp 4,Data Escala de Tempo 1 ENAS Simp 4,Período Exibido ENAS,Subsistema,Texto Data Incio da Semana Din Instante ENAS,Selecione Tipo de ENAS Simp 4
9/7/2005,Selecione Tipo de ENAS Simp 4,8/26/2005,September 2005,,9/1/2005 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,18677
8/7/2005,Selecione Tipo de ENAS Simp 4,7/26/2005,August 2005,,8/1/2005 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,15772
7/7/2005,Selecione Tipo de ENAS Simp 4,6/25/2005,July 2005,,7/1/2005 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,19797
6/7/2005,Selecione Tipo de ENAS Simp 4,5/26/2005,June 2005,,6/1/2005 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,26004
5/7/2005,Selecione Tipo de ENAS Simp 4,4/25/2005,May 2005,,5/1/2005 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,28437
4/7/2005,Selecione Tipo de ENAS Simp 4,3/26/2005,April 2005,,4/1/2005 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,33775
3/7/2005,Selecione Tipo de ENAS Simp 4,2/23/2005,March 2005,,3/1/2005 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,50460
2/7/2005,Selecione Tipo de ENAS Simp 4,1/26/2005,February 2005,,2/1/2005 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,53793
1/7/2005,Selecione Tipo de ENAS Simp 4,12/26/2004,January 2005,,1/1/2005 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,62062
12/7/2004,Selecione Tipo de ENAS Simp 4,11/25/2004,December 2004,,12/1/2004 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,36949
11/7/2004,Selecione Tipo de ENAS Simp 4,10/26/2004,November 2004,,11/1/2004 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,24341
10/7/2004,Selecione Tipo de ENAS Simp 4,9/25/2004,October 2004,,10/1/2004 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,20414
9/7/2004,Selecione Tipo de ENAS Simp 4,8/26/2004,September 2004,,9/1/2004 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,14056
8/7/2004,Selecione Tipo de ENAS Simp 4,7/26/2004,August 2004,,8/1/2004 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,17926
7/7/2004,Selecione Tipo de ENAS Simp 4,6/25/2004,July 2004,,7/1/2004 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,25748
6/7/2004,Selecione Tipo de ENAS Simp 4,5/26/2004,June 2004,,6/1/2004 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,31063
5/7/2004,Selecione Tipo de ENAS Simp 4,4/25/2004,May 2004,,5/1/2004 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,34322
4/7/2004,Selecione Tipo de ENAS Simp 4,3/26/2004,April 2004,,4/1/2004 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,42596
3/7/2004,Selecione Tipo de ENAS Simp 4,2/24/2004,March 2004,,3/1/2004 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,55638
2/7/2004,Selecione Tipo de ENAS Simp 4,1/26/2004,February 2004,,2/1/2004 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,63078
1/7/2004,Selecione Tipo de ENAS Simp 4,12/26/2003,January 2004,,1/1/2004 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,41871
12/7/2003,Selecione Tipo de ENAS Simp 4,11/25/2003,December 2003,,12/1/2003 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,31096
11/7/2003,Selecione Tipo de ENAS Simp 4,10/26/2003,November 2003,,11/1/2003 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,19715
10/7/2003,Selecione Tipo de ENAS Simp 4,9/25/2003,October 2003,,10/1/2003 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,14434
9/7/2003,Selecione Tipo de ENAS Simp 4,8/26/2003,September 2003,,9/1/2003 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,13775
8/7/2003,Selecione Tipo de ENAS Simp 4,7/26/2003,August 2003,,8/1/2003 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,14322
7/7/2003,Selecione Tipo de ENAS Simp 4,6/25/2003,July 2003,,7/1/2003 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,17978
6/7/2003,Selecione Tipo de ENAS Simp 4,5/26/2003,June 2003,,6/1/2003 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,20893
5/7/2003,Selecione Tipo de ENAS Simp 4,4/25/2003,May 2003,,5/1/2003 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,24330
4/7/2003,Selecione Tipo de ENAS Simp 4,3/26/2003,April 2003,,4/1/2003 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,38173
3/7/2003,Selecione Tipo de ENAS Simp 4,2/23/2003,March 2003,,3/1/2003 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,43648
2/7/2003,Selecione Tipo de ENAS Simp 4,1/26/2003,February 2003,,2/1/2003 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,56502
1/7/2003,Selecione Tipo de ENAS Simp 4,12/26/2002,January 2003,,1/1/2003 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,53642
12/7/2002,Selecione Tipo de ENAS Simp 4,11/25/2002,December 2002,,12/1/2002 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,31571
11/7/2002,Selecione Tipo de ENAS Simp 4,10/26/2002,November 2002,,11/1/2002 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,20493
10/7/2002,Selecione Tipo de ENAS Simp 4,9/25/2002,October 2002,,10/1/2002 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,11875
9/7/2002,Selecione Tipo de ENAS Simp 4,8/26/2002,September 2002,,9/1/2002 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,15884
8/7/2002,Selecione Tipo de ENAS Simp 4,7/26/2002,August 2002,,8/1/2002 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,14947
7/7/2002,Selecione Tipo de ENAS Simp 4,6/25/2002,July 2002,,7/1/2002 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,16434
6/7/2002,Selecione Tipo de ENAS Simp 4,5/26/2002,June 2002,,6/1/2002 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,18769
5/7/2002,Selecione Tipo de ENAS Simp 4,4/25/2002,May 2002,,5/1/2002 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,25732
4/7/2002,Selecione Tipo de ENAS Simp 4,3/26/2002,April 2002,,4/1/2002 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,26746
3/7/2002,Selecione Tipo de ENAS Simp 4,2/23/2002,March 2002,,3/1/2002 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,42351
2/7/2002,Selecione Tipo de ENAS Simp 4,1/26/2002,February 2002,,2/1/2002 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,60323
1/7/2002,Selecione Tipo de ENAS Simp 4,12/26/2001,January 2002,,1/1/2002 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,50973
