MAX MIN 1 ENAS Simp 4,Measure Names,MIN MAX 1 ENAS Simp 4,Month of Data Escala de Tempo 1 ENAS Simp 4,Data do Incio da Semana Din Instante ENAS Simp 4,Data Escala de Tempo 1 ENAS Simp 4,Período Exibido ENAS,Subsistema,Texto Data Incio da Semana Din Instante ENAS,Selecione Tipo de ENAS Simp 4
4/7/2016,Selecione Tipo de ENAS Simp 4,3/26/2016,April 2016,,4/1/2016 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,37299
3/7/2016,Selecione Tipo de ENAS Simp 4,2/24/2016,March 2016,,3/1/2016 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,64348
2/7/2016,Selecione Tipo de ENAS Simp 4,1/26/2016,February 2016,,2/1/2016 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,58433
1/7/2016,Selecione Tipo de ENAS Simp 4,12/26/2015,January 2016,,1/1/2016 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,79774
12/7/2015,Selecione Tipo de ENAS Simp 4,11/25/2015,December 2015,,12/1/2015 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,42829
11/7/2015,Selecione Tipo de ENAS Simp 4,10/26/2015,November 2015,,11/1/2015 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,31888
10/7/2015,Selecione Tipo de ENAS Simp 4,9/25/2015,October 2015,,10/1/2015 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,19782
9/7/2015,Selecione Tipo de ENAS Simp 4,8/26/2015,September 2015,,9/1/2015 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,20882
8/7/2015,Selecione Tipo de ENAS Simp 4,7/26/2015,August 2015,,8/1/2015 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,15977
7/7/2015,Selecione Tipo de ENAS Simp 4,6/25/2015,July 2015,,7/1/2015 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,28201
6/7/2015,Selecione Tipo de ENAS Simp 4,5/26/2015,June 2015,,6/1/2015 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,22851
5/7/2015,Selecione Tipo de ENAS Simp 4,4/25/2015,May 2015,,5/1/2015 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,29901
4/7/2015,Selecione Tipo de ENAS Simp 4,3/26/2015,April 2015,,4/1/2015 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,36755
3/7/2015,Selecione Tipo de ENAS Simp 4,2/23/2015,March 2015,,3/1/2015 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,42725
2/7/2015,Selecione Tipo de ENAS Simp 4,1/26/2015,February 2015,,2/1/2015 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,34485
1/7/2015,Selecione Tipo de ENAS Simp 4,12/26/2014,January 2015,,1/1/2015 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,22136
12/7/2014,Selecione Tipo de ENAS Simp 4,11/25/2014,December 2014,,12/1/2014 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,34680
11/7/2014,Selecione Tipo de ENAS Simp 4,10/26/2014,November 2014,,11/1/2014 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,18256
10/7/2014,Selecione Tipo de ENAS Simp 4,9/25/2014,October 2014,,10/1/2014 12:00:00 AM,Mês,Sudeste/Centro-Oeste,,13717
