MAX MIN 1 GE Simp 4,MIN MAX 1 GE Simp 4,Month of Data Escala de Tempo 1 GE Simp 4,Data Escala de Tempo 1 GE Simp 4,dsc_estado,id_subsistema,nom_tipousinasite,nom_usina 2,Período Exibido GE,Selecione Tipo de GE Simp 4
9/6/2016 12:00:00 AM,8/27/2016 12:00:00 AM,September 2016,9/1/2016 12:00:00 AM,RIO DE JANEIRO,Sudeste/Centro-Oeste,Eólica, GARGAÚ,2,10,04615169
8/6/2016 12:00:00 AM,7/27/2016 12:00:00 AM,August 2016,8/1/2016 12:00:00 AM,RIO DE JANEIRO,Sudeste/Centro-Oeste,Eólica, GARGAÚ,2,9,62026159
7/6/2016 12:00:00 AM,6/26/2016 12:00:00 AM,July 2016,7/1/2016 12:00:00 AM,RIO DE JANEIRO,Sudeste/Centro-Oeste,Eólica, GARGAÚ,2,4,93385998
6/6/2016 12:00:00 AM,5/27/2016 12:00:00 AM,June 2016,6/1/2016 12:00:00 AM,RIO DE JANEIRO,Sudeste/Centro-Oeste,Eólica, GARGAÚ,2,2,7660454
5/6/2016 12:00:00 AM,4/26/2016 12:00:00 AM,May 2016,5/1/2016 12:00:00 AM,RIO DE JANEIRO,Sudeste/Centro-Oeste,Eólica, GARGAÚ,2,3,4494229
4/6/2016 12:00:00 AM,3/27/2016 12:00:00 AM,April 2016,4/1/2016 12:00:00 AM,RIO DE JANEIRO,Sudeste/Centro-Oeste,Eólica, GARGAÚ,2,6,88479173
3/6/2016 12:00:00 AM,2/25/2016 12:00:00 AM,March 2016,3/1/2016 12:00:00 AM,RIO DE JANEIRO,Sudeste/Centro-Oeste,Eólica, GARGAÚ,2,7,52322887
2/6/2016 12:00:00 AM,1/27/2016 12:00:00 AM,February 2016,2/1/2016 12:00:00 AM,RIO DE JANEIRO,Sudeste/Centro-Oeste,Eólica, GARGAÚ,2,9,5752115
1/6/2016 12:00:00 AM,12/27/2015 12:00:00 AM,January 2016,1/1/2016 12:00:00 AM,RIO DE JANEIRO,Sudeste/Centro-Oeste,Eólica, GARGAÚ,2,8,35163228
12/6/2015 12:00:00 AM,11/26/2015 12:00:00 AM,December 2015,12/1/2015 12:00:00 AM,RIO DE JANEIRO,Sudeste/Centro-Oeste,Eólica, GARGAÚ,2,12,3369067
11/6/2015 12:00:00 AM,10/27/2015 12:00:00 AM,November 2015,11/1/2015 12:00:00 AM,RIO DE JANEIRO,Sudeste/Centro-Oeste,Eólica, GARGAÚ,2,7,22924028
10/6/2015 12:00:00 AM,9/26/2015 12:00:00 AM,October 2015,10/1/2015 12:00:00 AM,RIO DE JANEIRO,Sudeste/Centro-Oeste,Eólica, GARGAÚ,2,11,65777859
9/6/2015 12:00:00 AM,8/27/2015 12:00:00 AM,September 2015,9/1/2015 12:00:00 AM,RIO DE JANEIRO,Sudeste/Centro-Oeste,Eólica, GARGAÚ,2,10,27744321
8/6/2015 12:00:00 AM,7/27/2015 12:00:00 AM,August 2015,8/1/2015 12:00:00 AM,RIO DE JANEIRO,Sudeste/Centro-Oeste,Eólica, GARGAÚ,2,8,06666997
7/6/2015 12:00:00 AM,6/26/2015 12:00:00 AM,July 2015,7/1/2015 12:00:00 AM,RIO DE JANEIRO,Sudeste/Centro-Oeste,Eólica, GARGAÚ,2,8,15877736
6/6/2015 12:00:00 AM,5/27/2015 12:00:00 AM,June 2015,6/1/2015 12:00:00 AM,RIO DE JANEIRO,Sudeste/Centro-Oeste,Eólica, GARGAÚ,2,4,09790631
5/6/2015 12:00:00 AM,4/26/2015 12:00:00 AM,May 2015,5/1/2015 12:00:00 AM,RIO DE JANEIRO,Sudeste/Centro-Oeste,Eólica, GARGAÚ,2,3,84759935
4/6/2015 12:00:00 AM,3/27/2015 12:00:00 AM,April 2015,4/1/2015 12:00:00 AM,RIO DE JANEIRO,Sudeste/Centro-Oeste,Eólica, GARGAÚ,2,3,74473
3/6/2015 12:00:00 AM,2/24/2015 12:00:00 AM,March 2015,3/1/2015 12:00:00 AM,RIO DE JANEIRO,Sudeste/Centro-Oeste,Eólica, GARGAÚ,2,5,99144922
2/6/2015 12:00:00 AM,1/27/2015 12:00:00 AM,February 2015,2/1/2015 12:00:00 AM,RIO DE JANEIRO,Sudeste/Centro-Oeste,Eólica, GARGAÚ,2,12,41947473
1/6/2015 12:00:00 AM,12/27/2014 12:00:00 AM,January 2015,1/1/2015 12:00:00 AM,RIO DE JANEIRO,Sudeste/Centro-Oeste,Eólica, GARGAÚ,2,16,95875107
