MAX MIN 1 CE Simp 4,MIN MAX 1 CE Simp 4,Month of Data Escala de Tempo 1 CE Simp 4,Data Escala de Tempo 1 CE Simp 4,Período Exibido CE Simp 4,Subsistema,Selecione Tipo de CE Simp 4
3/6/2000,2/25/2000,March 2000,3/1/2000 12:00:00 AM,Mês,Sudeste/Centro-Oeste,25470.85502418
2/6/2000,1/27/2000,February 2000,2/1/2000 12:00:00 AM,Mês,Sudeste/Centro-Oeste,25588.78850575
1/6/2000,12/27/1999,January 2000,1/1/2000 12:00:00 AM,Mês,Sudeste/Centro-Oeste,24463.18615591
12/6/1999,11/26/1999,December 1999,12/1/1999 12:00:00 AM,Mês,Sudeste/Centro-Oeste,24812.90944892
11/6/1999,10/27/1999,November 1999,11/1/1999 12:00:00 AM,Mês,Sudeste/Centro-Oeste,24597.58638889
10/6/1999,9/26/1999,October 1999,10/1/1999 12:00:00 AM,Mês,Sudeste/Centro-Oeste,24847.33456171
9/6/1999,8/27/1999,September 1999,9/1/1999 12:00:00 AM,Mês,Sudeste/Centro-Oeste,25272.97444444
8/6/1999,7/27/1999,August 1999,8/1/1999 12:00:00 AM,Mês,Sudeste/Centro-Oeste,24895.36465054
7/6/1999,6/26/1999,July 1999,7/1/1999 12:00:00 AM,Mês,Sudeste/Centro-Oeste,24581.0938172
6/6/1999,5/27/1999,June 1999,6/1/1999 12:00:00 AM,Mês,Sudeste/Centro-Oeste,24407.39402778
5/6/1999,4/26/1999,May 1999,5/1/1999 12:00:00 AM,Mês,Sudeste/Centro-Oeste,24178.69561828
4/6/1999,3/27/1999,April 1999,4/1/1999 12:00:00 AM,Mês,Sudeste/Centro-Oeste,24753.89075
3/6/1999,2/24/1999,March 1999,3/1/1999 12:00:00 AM,Mês,Sudeste/Centro-Oeste,25243.66787634
2/6/1999,1/27/1999,February 1999,2/1/1999 12:00:00 AM,Mês,Sudeste/Centro-Oeste,24660.84255952
1/6/1999,12/27/1998,January 1999,1/1/1999 12:00:00 AM,Mês,Sudeste/Centro-Oeste,23340.17822581
