 PATAMAR DE DEFICIT
 NUMERO DE PATAMARES DE DEFICIT
 XXX
   1
 CUSTO DO DEFICIT
 NUM|NOME SSIS.|    CUSTO DE DEFICIT POR PATAMAR  | P.U. CORTE POR PATAMAR|
 XXX|XXXXXXXXXX| F|XXXX.XX XXXX.XX XXXX.XX XXXX.XX|X.XXX X.XXX X.XXX X.XXX|
 1   SUDESTE     0 4596.31 0000.00 0000.00 0000.00 1.000 0.000 0.000 0.000
 2   SUL         0 4596.31 0000.00 0000.00 0000.00 1.000 0.000 0.000 0.000
 3   NORDESTE    0 4596.31 0000.00 0000.00 0000.00 1.000 0.000 0.000 0.000
 4   NORTE       0 4596.31 0000.00 0000.00 0000.00 1.000 0.000 0.000 0.000
 11  NOFICT1     1
 999
 LIMITES DE INTERCAMBIO
 A   B   A->B    B->A
 XXX XXX XJAN. XXXFEV. XXXMAR. XXXABR. XXXMAI. XXXJUN. XXXJUL. XXXAGO. XXXSET. XXXOUT. XXXNOV. XXXDEZ.
POS     14150.  14694.  13896.  12916.  12627.  12669.  12833.  12874.  12717.  12963.  13261.  13410.
   3
2018                                                                                            11337.
2019    11416.  11429.  11634.  11442.  11169.  10878.  10708.  10867.  11153.  11443.  11571.  11567.
2020    11936.  11949.  12164.  11961.  11676.  11373.  11195.  11361.  11660.  11962.  12098.  12094.
2021    12447.  12460.  12684.  12474.  12176.  11860.  11674.  11848.  12159.  12475.  12615.  12611.
2022    13002.  13016.  13250.  13030.  12720.  12388.  12195.  12375.  12701.  13031.  13178.  13174.
POS     13002.  13016.  13250.  13030.  12720.  12388.  12195.  12375.  12701.  13031.  13178.  13174.
   4
2018                                                                                             5231.
2019     5282.   5708.   5809.   5825.   5792.   5607.   5643.   5917.   5978.   5898.   5860.   5744.
2020     5844.   5906.   6010.   6026.   5992.   5801.   5839.   6121.   6185.   6102.   6063.   5943.
2021     6045.   6110.   6218.   6235.   6199.   6001.   6040.   6333.   6399.   6313.   6272.   6149.
2022     6454.   6523.   6638.   6656.   6618.   6408.   6449.   6761.   6831.   6740.   6697.   6565.
POS      6454.   6523.   6638.   6656.   6618.   6408.   6449.   6761.   6831.   6740.   6697.   6565.
 999
 GERACAO DE USINAS NAO SIMULADAS
 XXX
       XXXJAN. XXXFEV. XXXMAR. XXXABR. XXXMAI. XXXJUN. XXXJUL. XXXAGO. XXXSET. XXXOUT. XXXNOV. XXXDEZ.
   1
2018                                                                                             4303. 
2019     3111.   3174.   3590.   4810.   5581.   5633.   5639.   5665.   5456.   5247.   5154.   4446. 
2020     3190.   3276.   3691.   4923.   5673.   5707.   5692.   5712.   5506.   5298.   5212.   4516. 
2021     3280.   3348.   3764.   4992.   5756.   5792.   5772.   5798.   5580.   5370.   5280.   4584. 
2022     3374.   3448.   3853.   5085.   5838.   5866.   5848.   5873.   5654.   5440.   5338.   4642. 
   2
2018                                                                                             1860. 
2019     1800.   1553.   1759.   1864.   1883.   2073.   2024.   1993.   2014.   2327.   2063.   1875. 
2020     1820.   1570.   1785.   1889.   1908.   2105.   2058.   2030.   2067.   2387.   2109.   1923. 
2021     1868.   1613.   1829.   1937.   1989.   2195.   2132.   2096.   2113.   2442.   2179.   1982. 
2022     1939.   1705.   1921.   2014.   2041.   2254.   2184.   2146.   2161.   2499.   2214.   2012. 
   3
2018                                                                                             5486. 
2019     5041.   4984.   4197.   4902.   5230.   6267.   7193.   7713.   8330.   7903.   6831.   6179. 
2020     5526.   5351.   4494.   5145.   5482.   6511.   7458.   7983.   8543.   8067.   6961.   6315. 
2021     5753.   5571.   4703.   5371.   5711.   6760.   7728.   8273.   8845.   8354.   7205.   6529. 
2022     5970.   5782.   4912.   5578.   5925.   6975.   7963.   8534.   9121.   8619.   7453.   6756. 
   4
2018                                                                                              189. 
2019      158.    140.    141.    142.    151.    158.    155.    187.    193.    195.    190.    190. 
2020      161.    142.    144.    144.    154.    163.    161.    193.    199.    200.    196.    197. 
2021      166.    152.    154.    154.    163.    169.    165.    196.    202.    203.    199.    201. 
2022      171.    152.    154.    154.    163.    169.    165.    196.    202.    203.    199.    201. 
 999
